"parameterMap","description","name","id","label","uuid:ID"
"{'min_age': {'klass': 'StudyDesignPopulation', 'id': 'StudyDesignPopulation_1', 'attribute': 'plannedMinimumAgeOfParticipants'}, 'max_age': {'klass': 'StudyDesignPopulation', 'id': 'StudyDesignPopulation_1', 'attribute': 'plannedMaximumAgeOfParticipants'}, 'StudyPopulation': {'klass': 'StudyDesignPopulation', 'id': 'StudyDesignPopulation_1', 'attribute': 'populationDescription'}}","Dictionary for IE","IE_Dict","SyntaxTemplateDictionary_1","IE Dictionary","8e2769dd-2206-41b5-896e-93bc7b84bc9b"
"{'Activity1': {'klass': 'Activity', 'id': 'Activity_6', 'attribute': 'label'}}","Dictionary for Study Assessments","AS_Dict","SyntaxTemplateDictionary_2","Assessment Dictionary","0c49fb42-1f6e-42e6-bea4-330ed9d4c5ba"
