"id","uuid:ID","otherReason"
"StudyAmendmentReason_1","915bf862-16d2-42f0-bc82-6a95ffc3ec9c",""
"StudyAmendmentReason_2","de920e19-ef7b-4f2c-a968-a41e117f768e","Fix typographical errors"
