"uuid:ID","parameterMap","id","text","description","label","name"
"147b7b5d-0437-48c6-8efe-9ce765b3aebb","{'min_age': {'klass': 'StudyDesignPopulation', 'id': 'StudyDesignPopulation_1', 'attribute': 'plannedMinimumAgeOfParticipants'}, 'max_age': {'klass': 'StudyDesignPopulation', 'id': 'StudyDesignPopulation_1', 'attribute': 'plannedMaximumAgeOfParticipants'}, 'StudyPopulation': {'klass': 'StudyDesignPopulation', 'id': 'StudyDesignPopulation_1', 'attribute': 'populationDescription'}}","SyntaxTemplateDictionary_1","","Dictionary for IE","IE Dictionary","IE_Dict"
"5e53e9e6-f5c1-4b3e-9a4e-007dc506a885","{'Activity1': {'klass': 'Activity', 'id': 'Activity_6', 'attribute': 'label'}}","SyntaxTemplateDictionary_2","","Dictionary for Study Assessments","Assessment Dictionary","AS_Dict"
