"uuid:ID","id","dateValue","description","label","name"
"4897b1ea-7e22-472f-8d49-55f1ba1520f0","GovernanceDate_1","2006-07-01","Design approval date","Design Approval","Approval"
"3de768a8-4c13-4496-a7ef-dc72da59a5bf","GovernanceDate_2","2006-07-01","Protocol document approval date","Protocol Approval","Approval"
