"id","uuid:ID","otherReason","instanceType"
"StudyAmendmentReason_1","3cecbdc3-0460-4dc6-9b78-9b95cf186d35","","StudyAmendmentReason"
"StudyAmendmentReason_2","742eaf61-6f20-4b07-ac75-f467ab8b9869","Fix typographical errors","StudyAmendmentReason"
