"id","name","uuid:ID","isRequired","datatype","isEnabled","instanceType","label"
"BiomedicalConceptProperty_23","AEENDTC","b2124ec3-ed7d-401d-a211-c2dcf7015ad0","True","datetime","True","BiomedicalConceptProperty","AEENDTC"
"BiomedicalConceptProperty_24","VSTESTCD","c29fadee-4db0-4491-ae77-7a66e3b7afd4","True","","True","BiomedicalConceptProperty","VSTESTCD"
"BiomedicalConceptProperty_25","VSORRES","3c4913a8-ebb2-4f39-b696-d41fba5e70d7","True","integer","True","BiomedicalConceptProperty","VSORRES"
"BiomedicalConceptProperty_26","VSORRESU","a55a990b-1298-4a02-aca9-9cbd489f0bc0","True","","True","BiomedicalConceptProperty","VSORRESU"
"BiomedicalConceptProperty_27","VSPOS","fbe55016-5664-43e4-a565-87175701176f","True","","True","BiomedicalConceptProperty","VSPOS"
"BiomedicalConceptProperty_28","VSLOC","44516180-653e-47b6-b282-6a0961f1aba6","True","","True","BiomedicalConceptProperty","VSLOC"
"BiomedicalConceptProperty_29","VSLAT","a7b3b420-d8cc-47bc-9d40-be1bbb62cc43","True","","True","BiomedicalConceptProperty","VSLAT"
"BiomedicalConceptProperty_30","VSTESTCD","f76d79f4-0cfd-4a58-8b17-33c75357701b","True","","True","BiomedicalConceptProperty","VSTESTCD"
"BiomedicalConceptProperty_31","VSORRES","bc1909fc-2423-4a78-a67e-2aa954cedc18","True","integer","True","BiomedicalConceptProperty","VSORRES"
"BiomedicalConceptProperty_32","VSORRESU","77681c20-e99c-47d3-b4cf-ef4ce402a7f9","True","","True","BiomedicalConceptProperty","VSORRESU"
"BiomedicalConceptProperty_33","VSPOS","c839393e-e33b-4302-951a-8b63f1b773b0","True","","True","BiomedicalConceptProperty","VSPOS"
"BiomedicalConceptProperty_34","VSLOC","360b3a8e-ff62-472d-86d0-3aae5aceb5e8","True","","True","BiomedicalConceptProperty","VSLOC"
"BiomedicalConceptProperty_35","VSLAT","7c20a9ec-2a11-43aa-8279-926e429b40b3","True","","True","BiomedicalConceptProperty","VSLAT"
"BiomedicalConceptProperty_36","VSTESTCD","c20e0dd5-64f8-4e3a-8225-17f0c68c3e79","True","","True","BiomedicalConceptProperty","VSTESTCD"
"BiomedicalConceptProperty_37","VSORRES","51b81824-528b-4c9a-b213-764829e9ef5a","True","float","True","BiomedicalConceptProperty","VSORRES"
"BiomedicalConceptProperty_38","VSORRESU","b374c76f-f4f8-4cdf-8a29-53f2c7ba1bd0","True","","True","BiomedicalConceptProperty","VSORRESU"
"BiomedicalConceptProperty_39","VSLOC","9f1833e3-83c3-4713-b405-62ae916a7a70","True","","True","BiomedicalConceptProperty","VSLOC"
"BiomedicalConceptProperty_40","VSTESTCD","4cff34f0-6d0a-425c-9c74-dc62b401164c","True","","True","BiomedicalConceptProperty","VSTESTCD"
"BiomedicalConceptProperty_41","VSORRES","c52b566d-79ca-4f7e-820d-f451625f9075","True","float","True","BiomedicalConceptProperty","VSORRES"
"BiomedicalConceptProperty_42","VSORRESU","8e5db0d1-361c-485b-bc7d-e9e83447bdfc","True","","True","BiomedicalConceptProperty","VSORRESU"
"BiomedicalConceptProperty_43","VSTESTCD","4272db22-8f18-48a8-a55a-a054b90a5f94","True","","True","BiomedicalConceptProperty","VSTESTCD"
"BiomedicalConceptProperty_44","VSORRES","c4ccec49-3b81-43b4-a403-6a2e47f39b82","True","float","True","BiomedicalConceptProperty","VSORRES"
"BiomedicalConceptProperty_45","VSORRESU","5fec9e0d-5f4f-4b76-8b39-7052412e2adf","True","","True","BiomedicalConceptProperty","VSORRESU"
"BiomedicalConceptProperty_46","LBTESTCD","86f184ae-4ffb-497e-868b-3973b7b9f14c","True","","True","BiomedicalConceptProperty","LBTESTCD"
"BiomedicalConceptProperty_47","LBORRES","8c47596a-ae60-4d6f-9071-e64049880c93","True","float","True","BiomedicalConceptProperty","LBORRES"
"BiomedicalConceptProperty_48","LBORRESU","2160539c-7abe-4416-aede-6aceb492b5e4","True","","True","BiomedicalConceptProperty","LBORRESU"
"BiomedicalConceptProperty_49","LBSPEC","11f9e8df-d8dc-4eaf-bb79-01c4601db60f","True","","True","BiomedicalConceptProperty","LBSPEC"
