"id","name","uuid:ID","description","dateValue","instanceType","label"
"GovernanceDate_1","D_APPROVE","2bb2ec6d-e70a-435f-9571-5f5924002776","Design approval date","2006-06-01","GovernanceDate","Design Approval"
"GovernanceDate_2","P_APPROVE","7f128802-cb54-407c-9d40-5c2c76928eef","Protocol document approval date","2006-07-01","GovernanceDate","Protocol Approval"
