"isApproximate","id","maxValue","minValue","instanceType","uuid:ID"
"False","Range_2","300.0","300.0","Range","728c97c2-5186-442d-9c6c-0389ad1e62a2"
"False","Range_1","300.0","300.0","Range","f27fe868-13d5-4d6a-8609-8e48c2feeab7"
"False","Range_3","100.0","50.0","Range","8aa78573-5285-4545-a46c-e5bf1e2ca372"
