"otherReason","instanceType","id","uuid:ID"
"","StudyAmendmentReason","StudyAmendmentReason_1","be45c6b3-9f5e-490a-b12c-e8e0df9a6d90"
"Fix typographical errors","StudyAmendmentReason","StudyAmendmentReason_2","a710e86d-f21c-4e52-85c3-67b354b169c6"
