"isApproximate","minValue","id","instanceType","maxValue","uuid:ID"
"False","300.0","Range_2","Range","300.0","58057007-56cf-45dc-b403-042c9f8e3b6e"
"False","300.0","Range_1","Range","300.0","2202abdf-8034-40f0-baf7-90171a8ee096"
"False","50.0","Range_3","Range","100.0","22208e01-a48d-481a-a064-1d5bbf3ac74f"
