"name","label","isEnabled","datatype","id","instanceType","isRequired","uuid:ID"
"DSDECOD","DSDECOD","True","text","BiomedicalConceptProperty_116","BiomedicalConceptProperty","True","5b7fb75f-5957-4522-b061-93029230737a"
"DSTERM","DSTERM","True","text","BiomedicalConceptProperty_117","BiomedicalConceptProperty","True","f0aa452f-3376-4c38-b953-43ac8f7b14af"
"DSSTDTC","DSSTDTC","True","datetime","BiomedicalConceptProperty_118","BiomedicalConceptProperty","True","e30001a2-e56b-4085-bfc6-15e7c604ebc5"
"Sex","Sex","True","string","BiomedicalConceptProperty_119","BiomedicalConceptProperty","True","fbeef403-cc94-49a3-afbe-89ecc042c7d0"
"Race","Race","True","string","BiomedicalConceptProperty_120","BiomedicalConceptProperty","True","a38c0b44-9138-4135-bcb9-6e2adfc11fad"
"VSTESTCD","VSTESTCD","True","","BiomedicalConceptProperty_121","BiomedicalConceptProperty","True","4eef654a-b154-4470-8211-c4602270004e"
"VSORRES","VSORRES","True","float","BiomedicalConceptProperty_122","BiomedicalConceptProperty","True","59f5b279-2da1-4b21-baa6-b7dd6de0f6d2"
"VSORRESU","VSORRESU","True","","BiomedicalConceptProperty_123","BiomedicalConceptProperty","True","3211d813-5aad-4aaa-8e89-39e970785270"
"VSLOC","VSLOC","True","","BiomedicalConceptProperty_124","BiomedicalConceptProperty","True","03329089-d66d-4ab5-95fb-c486eeaa92e0"
"VSTESTCD","VSTESTCD","True","","BiomedicalConceptProperty_125","BiomedicalConceptProperty","True","0cd99ed3-351e-429b-bea9-a0d6a7ea5e78"
"VSORRES","VSORRES","True","float","BiomedicalConceptProperty_126","BiomedicalConceptProperty","True","1a744ada-9915-4f91-9eb1-281caf9f768a"
"VSORRESU","VSORRESU","True","","BiomedicalConceptProperty_127","BiomedicalConceptProperty","True","e487af0a-74fd-4600-ac7e-402f8bdda9f2"
"VSTESTCD","VSTESTCD","True","","BiomedicalConceptProperty_128","BiomedicalConceptProperty","True","12e1d241-61a4-4baa-817b-437577254309"
"VSORRES","VSORRES","True","float","BiomedicalConceptProperty_129","BiomedicalConceptProperty","True","87f2b7ac-2dc2-4660-a848-34d31e19c13f"
"VSORRESU","VSORRESU","True","","BiomedicalConceptProperty_130","BiomedicalConceptProperty","True","8a28f2d4-f4d8-490d-95ef-3c7bcd525005"
"LBTESTCD","LBTESTCD","True","","BiomedicalConceptProperty_131","BiomedicalConceptProperty","True","3c3f4436-ad5b-4d58-b404-32b96f4c5e82"
"LBORRES","LBORRES","True","float","BiomedicalConceptProperty_132","BiomedicalConceptProperty","True","a3fe5f82-cd98-44cf-a4a9-490054bf2250"
"LBORRESU","LBORRESU","True","","BiomedicalConceptProperty_133","BiomedicalConceptProperty","True","d316c582-eab4-4376-9293-7114efebca7a"
"LBSPEC","LBSPEC","True","","BiomedicalConceptProperty_134","BiomedicalConceptProperty","True","40ce8811-62b9-4814-9b6e-d06301cba3db"
"LBFAST","LBFAST","True","","BiomedicalConceptProperty_135","BiomedicalConceptProperty","True","81053aab-53a5-40ba-a647-33a95715c054"
"LBTESTCD","LBTESTCD","True","","BiomedicalConceptProperty_136","BiomedicalConceptProperty","True","de3523d9-b4b2-4dc3-886d-16788a2efd49"
"LBORRES","LBORRES","True","text","BiomedicalConceptProperty_137","BiomedicalConceptProperty","True","7d7199e4-c976-42c5-97af-1c062e945476"
"LBSPEC","LBSPEC","True","","BiomedicalConceptProperty_138","BiomedicalConceptProperty","True","9189aad9-ff93-4b21-92e5-aa11ed4339e6"
"LBFAST","LBFAST","True","","BiomedicalConceptProperty_139","BiomedicalConceptProperty","True","2d304c83-9d54-4eb6-b4b3-691e8be07ad0"
"LBTESTCD","LBTESTCD","True","","BiomedicalConceptProperty_140","BiomedicalConceptProperty","True","b29a7979-bbbe-4fc7-80c5-2db0ed7d2900"
"LBORRES","LBORRES","True","float","BiomedicalConceptProperty_141","BiomedicalConceptProperty","True","f2f4d046-5f00-41bd-a2eb-c07f7363703e"
"LBORRESU","LBORRESU","True","","BiomedicalConceptProperty_142","BiomedicalConceptProperty","True","65c9eec0-821e-4dc6-88d4-20694027ee19"
"LBSPEC","LBSPEC","True","","BiomedicalConceptProperty_143","BiomedicalConceptProperty","True","f1e61819-1ced-47e0-8dc9-18bf1b25cd13"
"LBFAST","LBFAST","True","","BiomedicalConceptProperty_144","BiomedicalConceptProperty","True","353d96a8-bcfc-4580-8ee3-7281527bdea3"
"LBTESTCD","LBTESTCD","True","","BiomedicalConceptProperty_145","BiomedicalConceptProperty","True","41343cf1-823b-409f-975c-384aa576d627"
"LBORRES","LBORRES","True","float","BiomedicalConceptProperty_146","BiomedicalConceptProperty","True","dd071ebe-5ba4-4dc2-a384-f650095d915d"
"LBORRESU","LBORRESU","True","","BiomedicalConceptProperty_147","BiomedicalConceptProperty","True","430e5206-e178-4221-845d-36955b46fc0d"
"LBSPEC","LBSPEC","True","","BiomedicalConceptProperty_148","BiomedicalConceptProperty","True","ec560388-e52a-4918-87d1-92deaee473aa"
"LBFAST","LBFAST","True","","BiomedicalConceptProperty_149","BiomedicalConceptProperty","True","7d3ad984-fe55-4975-b941-eb1b35548c05"
"LBTESTCD","LBTESTCD","True","","BiomedicalConceptProperty_150","BiomedicalConceptProperty","True","fb72e3b3-b3bd-41b0-8472-c6bf9204d253"
