"isApproximate","uuid:ID","id","maxValue","minValue"
"False","ef6edb48-a1c5-41bb-b131-dceb31aaebd8","Range_2","300.0","300.0"
"False","bda205da-834a-4db1-8e5b-4827ba612760","Range_1","300.0","300.0"
