"name","text","id","uuid:ID"
"AP_1","ITT","AnalysisPopulation_1","dd0ede24-ebae-46fc-92a0-d8e802347d24"
"AP_4","ITT","AnalysisPopulation_2","88f650f8-83f1-4787-a06c-dac8ff48d84a"
