"id","code","decode","codeSystemVersion","uuid:ID","codeSystem"
"Code_1","C98388","Interventional Study","2023-09-29","4c766293-8d2b-4c3a-b350-0b0badec3177","http://www.cdisc.org"
"Code_2","C15602","Phase III Trial","2023-09-29","02fb2e04-6b76-4bfd-9114-af1baa95813a","http://www.cdisc.org"
"Code_6","C132352","Sponsor Approval Date","2023-09-29","00a965a4-dfff-4fc2-b1d9-81c7ad0b763f","http://www.cdisc.org"
"Code_7","C68846","Global","2023-09-29","23b14a7f-4f71-4915-ba20-3bb4e0ce2463","http://www.cdisc.org"
"Code_3","VAC","Vacines Group","12","83dc538b-2604-4120-a8e1-0f354bc57632","SPONSOR"
"Code_4","REG","Regulatory","12","8990deb9-db98-4794-bf33-2269d2b29ff0","SPONSOR"
"Code_10","C93453","Study Registry","2023-09-29","74a66a3d-812d-4d7b-a58b-fb07eda2bcc3","http://www.cdisc.org"
"Code_11","GBR","United Kingdom of Great Britain and Northern Ireland","2020-08","144abfb7-0a94-476a-a2b8-740ae823cbe9","ISO 3166 1 alpha3"
"Code_12","C70793","Clinical Study Sponsor","2023-09-29","03f30ff1-fbdf-48dd-95bf-b63c9b5e4bc2","http://www.cdisc.org"
"Code_13","FRA","France","2020-08","08da4fce-e6e3-47f0-9e0d-e9838282e45e","ISO 3166 1 alpha3"
"Code_42","C15714","Basic Research","2023-09-29","f872e493-775c-4c8c-9ec8-d903f7d31cd4","http://www.cdisc.org"
"Code_43","C139174","Device Feasibility Study","2023-09-29","e30fb92f-9fa7-4876-9964-ad409c267a79","http://www.cdisc.org"
"Code_44","C49666","Efficacy Study","2023-09-29","04fa4fc0-cd1f-4f2f-bc45-1fea39c64709","http://www.cdisc.org"
"Code_39","T2_DIABETES","Type 2 diabetes","12","78696851-9559-4306-803d-dcaef3e460a0","SPONSOR"
"Code_40","73211009","Diabetes mellitus (disorder)","January 31, 2018","7041e08d-cae0-4ffe-90a1-9a9c225a38f8","SNOMED"
"Code_45","C82639","Parallel Study","2023-09-29","8fc0b17f-b5da-4246-a3a6-1c3e9e19bbc5","http://www.cdisc.org"
"Code_16","C25716","Visit","2023-09-29","f936b17e-65b9-4a09-8287-becf273e1577","http://www.cdisc.org"
"Code_17","C51282","Clinic","2023-09-29","495665df-aa06-4ed9-9c05-c0595ab7760f","http://www.cdisc.org"
"Code_18","C175574","In Person","2023-09-29","73c48f43-a287-445a-91a6-de315b1614f7","http://www.cdisc.org"
"Code_19","C25716","Visit","2023-09-29","57a62f52-d5c9-4834-8b34-56885f2e7f95","http://www.cdisc.org"
"Code_20","C51282","Clinic","2023-09-29","fa5ba2d0-bd38-4fa3-8022-9dd1f1fd46bf","http://www.cdisc.org"
"Code_21","C175574","In Person","2023-09-29","f60d511e-c516-4848-b11b-88b049792f05","http://www.cdisc.org"
"Code_22","C25716","Visit","2023-09-29","0eac2a9d-566e-462f-b572-2c2eac106e80","http://www.cdisc.org"
"Code_23","C51282","Clinic","2023-09-29","4c68a950-142f-498e-90db-ee16f979fd75","http://www.cdisc.org"
"Code_24","C175574","In Person","2023-09-29","d796b210-595b-4d7b-9248-7820cd1cd832","http://www.cdisc.org"
"Code_25","C25716","Visit","2023-09-29","79c2e36a-c4ea-43f3-8f1e-71a41bd45d74","http://www.cdisc.org"
"Code_26","C51282","Clinic","2023-09-29","ce171934-4d32-4348-8336-f68100091db8","http://www.cdisc.org"
"Code_27","C175574","In Person","2023-09-29","8ac1f242-f802-4895-88a1-6752aa11d26c","http://www.cdisc.org"
"Code_28","C25716","Visit","2023-09-29","69535b77-9871-4ef7-af78-3717cfef7bc3","http://www.cdisc.org"
"Code_29","C18002","Home","2023-09-29","2e248c5a-14cb-4e83-9c65-311b0a721b26","http://www.cdisc.org"
"Code_30","C171537","Telephone Call","2023-09-29","6eeab426-7573-4ede-983e-e429dec5e714","http://www.cdisc.org"
"Code_72","C20197","Male","2023-09-29","f535bfe7-31af-4f4d-aa35-371ac3c21a51","http://www.cdisc.org"
"Code_73","C16576","Female","2023-09-29","9df117cb-3817-4fae-b4f8-6b541b8749df","http://www.cdisc.org"
"Code_74","C17998","Unknown","2023-09-29","68782857-275c-4429-b2cb-35e3f339bf23","http://www.cdisc.org"
"Code_75","C28421","Sex","","fa968179-7a01-4b79-bdf7-08e925bdecec","NCI Thesaurus"
"Code_71","C28421","Sex","","e3017cdb-9d36-4378-9da4-af1b5cc74992","NCI Thesaurus"
