"otherReason","uuid:ID","instanceType","id"
"","839768cd-243b-419d-8acd-6fea82807344","StudyAmendmentReason","StudyAmendmentReason_1"
"Fix typographical errors","dc0dede8-63a7-4228-8c9b-b7eec4e1ddfa","StudyAmendmentReason","StudyAmendmentReason_2"
