"id:ID","uuid","id"
"721","4ead3f38-3fc8-4146-9134-8f767d21a7d0","StudyCell_1"
"722","cc816a4f-9fde-46d0-844b-97233fb12ddd","StudyCell_2"
"723","316588b6-a7e3-408a-a9c2-637135d2d337","StudyCell_3"
"724","38bfeadc-e5b9-44fe-bcdf-abd0e35018a5","StudyCell_4"
"725","7a5fa236-0df2-4572-8b4f-09cf437db1e1","StudyCell_5"
"726","246dfc61-dd72-4f34-8a42-c0a8c9b3c81a","StudyCell_6"
"727","677cedb5-d2b7-482c-a6e5-93e980640f9d","StudyCell_7"
"728","2a95aa05-625d-4ff4-ab07-636e4db50d8c","StudyCell_8"
"729","d5927a05-2484-4ed2-b1fd-08e799f68575","StudyCell_9"
"730","0a4cbfab-a025-4486-8472-e3d52078ae73","StudyCell_10"
"731","25f28789-6cea-4915-9931-7bacc37cae63","StudyCell_11"
"732","24103ab2-3612-4153-97ec-edf1b0a950a1","StudyCell_12"
"733","8c972d0b-332b-421c-9138-e6b797dbb155","StudyCell_13"
"734","2de5571b-bf91-4856-b8d9-0e7fd2cd1437","StudyCell_14"
"735","5a91122a-7822-4f07-bd8b-df95424d459f","StudyCell_15"
