"id:ID","otherReason","uuid","id"
"470","","2178071c-c94c-40c8-be81-d4774807e53a","StudyAmendmentReason_1"
"471","Fix typographical errors","67ff0796-6f31-4947-9613-cde5caf5913c","StudyAmendmentReason_2"
