"instanceType","id","otherReason","uuid:ID"
"StudyAmendmentReason","StudyAmendmentReason_1","","26bde59e-9af5-4f40-9e06-12bd80c01892"
"StudyAmendmentReason","StudyAmendmentReason_2","Fix typographical errors","534e8524-70a9-475e-8802-1444e65919ef"
