"instanceType","id","uuid:ID"
"StudyCell","StudyCell_1","7169b8b1-e6f5-4839-bfcf-334c8083492a"
"StudyCell","StudyCell_2","a5458332-bfb9-4d02-913f-873cbb6340c7"
"StudyCell","StudyCell_3","bd33f151-b995-4f44-b047-84553d0401f8"
"StudyCell","StudyCell_4","a179068f-cffc-4e35-a58c-086027e35f4a"
"StudyCell","StudyCell_5","f2f7ad42-1e2a-4611-950e-bf0edb153d07"
"StudyCell","StudyCell_6","7bfaf43a-25e9-4b60-bb24-0beea591abd4"
"StudyCell","StudyCell_7","55c93b7b-6add-4648-922d-8d85d495eebc"
"StudyCell","StudyCell_8","0ae2bce9-c9be-4b2c-9863-db877044a90d"
"StudyCell","StudyCell_9","cefe9446-3e8f-4a51-a4f6-10d05220b2f1"
"StudyCell","StudyCell_10","edf83e6e-9de3-4f43-9b1d-102c9634b432"
"StudyCell","StudyCell_11","8c197718-5b49-4507-a912-2b190981de9f"
"StudyCell","StudyCell_12","32908d7d-05b6-4bd6-982b-a9ebf0e70fed"
"StudyCell","StudyCell_13","92cad56a-b9e4-4371-91f1-15971e9e64b2"
"StudyCell","StudyCell_14","3f166c41-08e0-4c22-b316-e025f145fbc9"
"StudyCell","StudyCell_15","da7941ab-be9d-4dfb-8a1f-af01a3781e8d"
