"id","isApproximate","minValue","uuid:ID","maxValue","instanceType"
"Range_2","False","300.0","0678ae75-49ef-499a-9873-2c8efb4c5f7e","300.0","Range"
"Range_1","False","300.0","12c4d7ec-1f38-47ed-8b33-0b4acd87ff23","300.0","Range"
"Range_3","False","50.0","2bbaf21a-33ea-4e6c-abdf-c3564e6a223d","100.0","Range"
