"code","codeSystemVersion","uuid:ID","decode","codeSystem","id"
"C98388","2023-09-29","358f41a8-e8a3-4b8f-8283-8f97edfd0c03","Interventional Study","http://www.cdisc.org","Code_1"
"C15602","2023-09-29","55e78d85-7fb9-40d6-8d76-9c5f404fd65f","Phase III Trial","http://www.cdisc.org","Code_2"
"C132352","2023-09-29","506b3d58-26b1-49a2-b3ee-13ae3b0d7030","Sponsor Approval Date","http://www.cdisc.org","Code_6"
"C68846","2023-09-29","2f3690f9-8497-48c1-be0c-d48d1a8f6f2c","Global","http://www.cdisc.org","Code_7"
"VAC","12","1802f0c9-6022-4e8e-93ac-8e53da66085f","Vacines Group","SPONSOR","Code_3"
"REG","12","648257b1-01c5-481a-b09f-1aba6b39ae5e","Regulatory","SPONSOR","Code_4"
"C93453","2023-09-29","b06b73db-65e1-496f-b7d9-9f3885fae538","Study Registry","http://www.cdisc.org","Code_10"
"GBR","2020-08","07b51df2-8159-4813-91a3-e8ec1d971bd8","United Kingdom of Great Britain and Northern Ireland","ISO 3166 1 alpha3","Code_11"
"C70793","2023-09-29","41d78862-2db0-4ee8-9e31-ed8d76574166","Clinical Study Sponsor","http://www.cdisc.org","Code_12"
"FRA","2020-08","f4c25419-c0e4-4e99-a36a-ef5fc56bbc14","France","ISO 3166 1 alpha3","Code_13"
"C15714","2023-09-29","4a2c806d-f439-4db3-9d5e-a69fcf7cc848","Basic Research","http://www.cdisc.org","Code_42"
"C139174","2023-09-29","f351bc82-6943-4eee-9494-0c9bd1a8300c","Device Feasibility Study","http://www.cdisc.org","Code_43"
"C49666","2023-09-29","2789ecbc-8a62-4e3b-961b-d7dedc8e06d2","Efficacy Study","http://www.cdisc.org","Code_44"
"T2_DIABETES","12","9bf2d863-56f1-4cc1-ae3e-b602ffdf8425","Type 2 diabetes","SPONSOR","Code_39"
"73211009","January 31, 2018","fb780e81-69a1-4248-90bc-628b570f016b","Diabetes mellitus (disorder)","SNOMED","Code_40"
"C82639","2023-09-29","5e0cc4a2-1c03-4c5a-81b0-309d239fa60d","Parallel Study","http://www.cdisc.org","Code_45"
"C25716","2023-09-29","3cdc02b6-148c-4719-806e-541f6034cff6","Visit","http://www.cdisc.org","Code_16"
"C51282","2023-09-29","b822ad23-4910-4cb4-b15d-e4fb6799d657","Clinic","http://www.cdisc.org","Code_17"
"C175574","2023-09-29","efcaef12-147c-4cf9-90ca-7153b576c5f2","In Person","http://www.cdisc.org","Code_18"
"C25716","2023-09-29","6967f24e-0e9d-455e-85e2-85db93701e0c","Visit","http://www.cdisc.org","Code_19"
"C51282","2023-09-29","cce6e9da-e621-4aa4-b348-e74760357553","Clinic","http://www.cdisc.org","Code_20"
"C175574","2023-09-29","b2c39b14-7815-45ca-9e7e-5111f24009ae","In Person","http://www.cdisc.org","Code_21"
"C25716","2023-09-29","dbfc86f8-f00a-47e4-a6a7-3b9718b7e5e8","Visit","http://www.cdisc.org","Code_22"
"C51282","2023-09-29","6f7c9bbf-b076-41e6-b2f4-bc854fe2ed7a","Clinic","http://www.cdisc.org","Code_23"
"C175574","2023-09-29","ee2cab9b-0b7a-4b9c-a3d2-fb118f8b8d39","In Person","http://www.cdisc.org","Code_24"
"C25716","2023-09-29","54d45f45-a6d5-4704-97be-45bdef1b846b","Visit","http://www.cdisc.org","Code_25"
"C51282","2023-09-29","1d4f2fce-ebaa-4d15-bd78-a62309dbea5c","Clinic","http://www.cdisc.org","Code_26"
"C175574","2023-09-29","6101a63b-f034-4ec6-8806-2cb26c59e76b","In Person","http://www.cdisc.org","Code_27"
"C25716","2023-09-29","f02f49f7-f634-4bc7-9b21-a768cac6cda7","Visit","http://www.cdisc.org","Code_28"
"C18002","2023-09-29","78ef186a-e5cb-42b8-924d-8d4c88e5a384","Home","http://www.cdisc.org","Code_29"
"C171537","2023-09-29","ca899c93-66b2-4f4a-a0cc-5934999add6b","Telephone Call","http://www.cdisc.org","Code_30"
"C20197","2023-09-29","7e59bf47-65e6-4f33-934b-15a873ac0b66","Male","http://www.cdisc.org","Code_72"
"C16576","2023-09-29","e78f8ae1-0097-4d56-a8e0-dda8092ca576","Female","http://www.cdisc.org","Code_73"
"C17998","2023-09-29","25f2d264-e941-425e-881a-bdf120976d1e","Unknown","http://www.cdisc.org","Code_74"
"C28421","","c288c712-4456-4afc-94c5-645ea5ddcd22","Sex","NCI Thesaurus","Code_75"
"C28421","","51e4ba1f-4bf8-426e-a760-bf979b580305","Sex","NCI Thesaurus","Code_71"
"C17998","2023-09-29","a8e5d4c9-f64c-448e-9094-76a99227bcd7","Unknown","http://www.cdisc.org","Code_77"
"C17049","","1a47559c-707c-483d-9927-2543520a9d29","Race","NCI Thesaurus","Code_78"
"C17049","","9169ad20-2e8b-4ba1-a16d-ef063291695b","Race","NCI Thesaurus","Code_76"
"C173522","","7dd498bb-1874-43b3-92df-d8496bb2f2dc","Vital Signs Result","NCI Thesaurus","Code_80"
"C28252","2023-09-29","020d0fa2-97c9-425e-b916-533e085d2d9d","Kilogram","http://www.cdisc.org","Code_81"
"C48155","2023-09-29","5989a672-917c-4816-82fd-bf9cd2b1f777","Gram","http://www.cdisc.org","Code_82"
"C48531","2023-09-29","d103cb02-7030-4513-84e2-b0bfcd218b83","Pound","http://www.cdisc.org","Code_83"
"C48208","","8f1ad1b9-aaf6-4cc8-9dde-1811871763e7","Unit of Weight","NCI Thesaurus","Code_84"
"C81328","","b6971ab6-751f-48da-b2c5-06d04cee8bdd","Body Weight","NCI Thesaurus","Code_79"
"C174267","2023-09-29","335769dd-f83b-4151-97e4-f489807d35d2","Active Comparator Arm","http://www.cdisc.org","Code_31"
"C188866","2023-09-29","feca5ae8-6ee8-4b0c-af54-cc08b9840779","Data Generated Within Study","http://www.cdisc.org","Code_32"
"C174268","2023-09-29","21e607ad-091b-4271-8218-5cb0dfba84f8","Placebo Comparator Arm","http://www.cdisc.org","Code_33"
"C188866","2023-09-29","b38be944-ff18-47ca-aba7-37d6da126c56","Data Generated Within Study","http://www.cdisc.org","Code_34"
"C49659","2023-09-29","12302893-1627-43fc-b3ea-4a72b5376f73","Open Label Study","http://www.cdisc.org","Code_41"
"C48262","2023-09-29","43607fbe-dad4-4c08-b1ee-a5906660e615","Trial Screening","http://www.cdisc.org","Code_35"
"C125938","2023-09-29","a6b23705-d1c8-465e-b782-88c64ffc9ef3","Baseline Epoch","http://www.cdisc.org","Code_36"
"C101526","2023-09-29","25536894-2a9a-4630-ab41-429712409675","Treatment Epoch","http://www.cdisc.org","Code_37"
"C99158","2023-09-29","394f9595-00a4-4602-be55-657c8405b828","Clinical Study Follow-up","http://www.cdisc.org","Code_38"
"12345","January 31, 2018","3b18f433-b412-4690-8d7b-8e076bd79a5c","Indication1","SNOMED","Code_85"
"345678","January 31, 2018","f4cc78f7-5a2c-4e03-a8bf-84be5604a056","Indication2","SNOMED","Code_88"
"X","None set","a6880fff-73af-4939-a924-958f5940def4","Y","ICD-10","Code_86"
"A","January 31, 2018","c93f13d2-ff6b-40a5-ac03-56e15dd6a561","B","SNOMED","Code_87"
"DD","None set","28193e12-5681-4706-849e-dbea9a3a7c7b","CC","ICD-10","Code_89"
"A","January 31, 2018","e4c3a71e-6550-4e13-adf4-f9f86065461d","B","SNOMED","Code_90"
"C85826","2023-09-29","79894352-1aaf-4f4b-b421-4e156daf9d13","Trial Primary Objective","http://www.cdisc.org","Code_95"
"C94496","2023-09-29","1196a8b2-a14f-4b8e-9df8-dcb7cc956ca1","Primary Endpoint","http://www.cdisc.org","Code_94"
"C85827","2023-09-29","ab87bf49-4a19-4152-aaa8-5452dfe3d420","Trial Secondary Objective","http://www.cdisc.org","Code_97"
"C139173","2023-09-29","7e508f85-49d9-47ae-8afb-8b39823a86d9","Secondary Endpoint","http://www.cdisc.org","Code_96"
"C139173","2023-09-29","ce8f1da5-65d2-4049-a0e1-50791229e10f","Secondary Endpoint","http://www.cdisc.org","Code_98"
"C139173","2023-09-29","5d46686c-6573-4900-a1cc-e659668ecdf9","Secondary Endpoint","http://www.cdisc.org","Code_99"
"C139173","2023-09-29","c792587d-345c-43b2-be45-fb3a6ade290d","Secondary Endpoint","http://www.cdisc.org","Code_100"
"C139173","2023-09-29","d4697a62-f317-432b-9640-e226a0f2d5bd","Secondary Endpoint","http://www.cdisc.org","Code_101"
"C139173","2023-09-29","247def8e-4b46-44a7-9876-ecf5029e0e6c","Secondary Endpoint","http://www.cdisc.org","Code_102"
"C139173","2023-09-29","b59cab28-611c-4f8c-ba9b-83864a4c8857","Secondary Endpoint","http://www.cdisc.org","Code_103"
"C139173","2023-09-29","e9ee90f2-fbbb-4387-a198-4169db9cd1d9","Secondary Endpoint","http://www.cdisc.org","Code_104"
"C139173","2023-09-29","b00248c5-762a-4a30-bc01-99c91cf94e7a","Secondary Endpoint","http://www.cdisc.org","Code_105"
"C139173","2023-09-29","f20bfa36-789f-457d-8a30-0e97b0dbfe9a","Secondary Endpoint","http://www.cdisc.org","Code_106"
"C139173","2023-09-29","c7c9bc7f-7c7f-4785-998f-97ca3324b4c7","Secondary Endpoint","http://www.cdisc.org","Code_107"
"C49636","2023-09-29","128fa08c-dd19-4c31-b004-70c7aacb1539","Both","http://www.cdisc.org","Code_91"
"C20197","2023-09-29","31394ea7-51dd-4755-a11d-9d46ad1fcc32","Male","http://www.cdisc.org","Code_92"
"C16576","2023-09-29","0b5a1d4e-b825-46d5-a9fc-f6c2b93a406a","Female","http://www.cdisc.org","Code_93"
"C201264","2023-09-29","6e5529b7-dcb5-4444-bb7b-33d55bd10cbe","Before","http://www.cdisc.org","Code_48"
"C201265","2023-09-29","71bfbd0b-ecd8-4bfb-9f21-6f7619b9a45e","Start to Start","http://www.cdisc.org","Code_50"
"C201264","2023-09-29","be2e1939-669f-4cc1-9ae5-fe2a0158a89e","Before","http://www.cdisc.org","Code_53"
"C201265","2023-09-29","351b432c-3963-4f05-923f-114c3089b8f3","Start to Start","http://www.cdisc.org","Code_55"
"C201264","2023-09-29","b6625027-a7ae-43fd-a140-c1f94c56540d","Fixed Reference","http://www.cdisc.org","Code_56"
"C201265","2023-09-29","85128faa-488a-4a68-a67c-9df2d393d3ff","Start to Start","http://www.cdisc.org","Code_60"
