"text","description","uuid:ID","label","id","name"
"ITT","","b6de1e11-459c-4c9d-b1f3-cf7caa1b8eae","","AnalysisPopulation_1","AP_1"
"ITT","","d770ee89-4f8f-462e-b275-4c227075b99b","","AnalysisPopulation_2","AP_4"
