"uuid:ID","otherReason","id","instanceType"
"8525cfa3-1838-4f8f-aa50-628014d0686a","","StudyAmendmentReason_1","StudyAmendmentReason"
"8688c626-6e22-44fc-87bd-c0756ac0c82c","Fix typographical errors","StudyAmendmentReason_2","StudyAmendmentReason"
