"uuid:ID","id","otherReason","instanceType"
"093fa92e-f03d-4ee6-9fd4-8844e7099e1a","StudyAmendmentReason_1","","StudyAmendmentReason"
"1e388cee-3f89-4e40-9013-0c0324ffb541","StudyAmendmentReason_2","Fix typographical errors","StudyAmendmentReason"
