"instanceType","dateValue","name","description","id","uuid:ID","label"
"GovernanceDate","2006-06-01","D_APPROVE","Design approval date","GovernanceDate_1","5e0fe970-5e66-4c79-be4e-2f1713adb492","Design Approval"
"GovernanceDate","2006-07-01","P_APPROVE","Protocol document approval date","GovernanceDate_2","98306aae-a9ab-456b-bb19-8725015348d8","Protocol Approval"
