"id","uuid:ID","instanceType","otherReason"
"StudyAmendmentReason_1","8b205bc0-6781-4dfa-9b9f-372c49715fb7","StudyAmendmentReason",""
"StudyAmendmentReason_2","f50c7355-599b-4ebe-a7be-720157fc3b31","StudyAmendmentReason","Fix typographical errors"
