"isApproximate","instanceType","id","uuid:ID","minValue","maxValue"
"False","Range","Range_2","758c5568-6b4f-45e2-81e5-511e4c7634b8","300.0","300.0"
"False","Range","Range_1","7d358e01-f631-4d20-8152-8b7038668227","300.0","300.0"
"False","Range","Range_3","b31c5d1a-806d-4319-af45-78bc90b5457a","50.0","100.0"
