"instanceType","name","description","id","uuid:ID","label"
"SyntaxTemplateDictionary","IE_Dict","Dictionary for IE","SyntaxTemplateDictionary_1","d6166864-fb69-4706-b5da-bcc04a61cc5b","IE Dictionary"
"SyntaxTemplateDictionary","AS_Dict","Dictionary for Study Assessments","SyntaxTemplateDictionary_2","09fd4bc5-80a3-45c3-96ed-51f8cc649cf1","Assessment Dictionary"
