"name","label","uuid:ID","id","dateValue","description"
"D_APPROVE","Design Approval","07699106-2abc-4a85-b5af-62f2bc11f385","GovernanceDate_1","2006-06-01","Design approval date"
"P_APPROVE","Protocol Approval","5ab9a7d9-c809-44d5-a60b-976f714b2f3a","GovernanceDate_2","2006-07-01","Protocol document approval date"
