"codeSystem","decode","uuid:ID","codeSystemVersion","id","code"
"http://www.cdisc.org","Interventional Study","65dceb9f-d026-4320-8492-dcc72b075110","2023-09-29","Code_1","C98388"
"http://www.cdisc.org","Phase III Trial","665a5bcb-9b7e-4762-b780-e7adf468fb71","2023-09-29","Code_2","C15602"
"http://www.cdisc.org","Sponsor Approval Date","994925b9-2a8a-4846-acb9-94356972215a","2023-09-29","Code_6","C132352"
"http://www.cdisc.org","Global","9002cd59-1448-43d1-993b-cac3e7f72324","2023-09-29","Code_7","C68846"
"SPONSOR","Vacines Group","f51d802a-0d00-4ff8-9f52-a3e142ab16ef","12","Code_3","VAC"
"SPONSOR","Regulatory","df7a851b-0b81-476e-9392-a0cecd4374fd","12","Code_4","REG"
"http://www.cdisc.org","Study Registry","09509c27-53c8-4548-bc8f-a23b4f8f9267","2023-09-29","Code_10","C93453"
"ISO 3166 1 alpha3","United Kingdom of Great Britain and Northern Ireland","5e56f0b3-d7b3-400e-9154-0f93b8980cff","2020-08","Code_11","GBR"
"http://www.cdisc.org","Clinical Study Sponsor","04d05976-6739-403b-9f8c-4d15dc9f2d2e","2023-09-29","Code_12","C70793"
"ISO 3166 1 alpha3","France","159db1e6-614f-4120-b729-4bad49dca165","2020-08","Code_13","FRA"
"http://www.cdisc.org","Basic Research","5baaf764-14f5-40bb-99c8-75c2dbea6c53","2023-09-29","Code_42","C15714"
"http://www.cdisc.org","Device Feasibility Study","ea829702-f1cf-4bcf-a891-580ecd546110","2023-09-29","Code_43","C139174"
"http://www.cdisc.org","Efficacy Study","ccf542e4-25c2-42c2-883f-de89f3c80742","2023-09-29","Code_44","C49666"
"SPONSOR","Type 2 diabetes","439d75e2-ec2d-4862-a458-41aac363bb78","12","Code_39","T2_DIABETES"
"SNOMED","Diabetes mellitus (disorder)","08676028-306e-4a1d-97f1-09e02cb2b222","January 31, 2018","Code_40","73211009"
"http://www.cdisc.org","Parallel Study","8523bbdf-9140-4368-b07c-28cdf1f235a7","2023-09-29","Code_45","C82639"
"http://www.cdisc.org","Visit","f287ae07-27b6-40e5-aa15-f60520d6b087","2023-09-29","Code_16","C25716"
"http://www.cdisc.org","Clinic","275bc52a-a3dd-42d1-b61a-8e3e26d9e40b","2023-09-29","Code_17","C51282"
"http://www.cdisc.org","In Person","bdeea83a-248b-4469-8121-86f52f783caf","2023-09-29","Code_18","C175574"
"http://www.cdisc.org","Visit","c0a80b90-9dd9-479f-b50d-f4a6756a4f6c","2023-09-29","Code_19","C25716"
"http://www.cdisc.org","Clinic","375f49a1-56a4-4cda-9f90-1fe90ad1522b","2023-09-29","Code_20","C51282"
"http://www.cdisc.org","In Person","b3c47a76-6c27-49d3-a782-90e270bfc8af","2023-09-29","Code_21","C175574"
"http://www.cdisc.org","Visit","b927a2bf-9d06-4884-961b-80e6f6d2b013","2023-09-29","Code_22","C25716"
"http://www.cdisc.org","Clinic","92497940-04cc-4c39-9645-9b754d49965d","2023-09-29","Code_23","C51282"
"http://www.cdisc.org","In Person","ba0b2c03-05ce-4b7f-a3a7-3d09c437d4da","2023-09-29","Code_24","C175574"
"http://www.cdisc.org","Visit","1c139180-ca64-48ab-8994-35bc7a23c52d","2023-09-29","Code_25","C25716"
"http://www.cdisc.org","Clinic","2b89a079-3c4d-4de9-9934-6cac3d5a12fd","2023-09-29","Code_26","C51282"
"http://www.cdisc.org","In Person","8d0b922f-fa03-4f76-a7b5-60a9e4e9095d","2023-09-29","Code_27","C175574"
"http://www.cdisc.org","Visit","5b79383f-16d1-4f94-a175-d81ae4cc9489","2023-09-29","Code_28","C25716"
"http://www.cdisc.org","Home","9214ceda-24d7-46c3-a8c7-4bfdf8057b4f","2023-09-29","Code_29","C18002"
"http://www.cdisc.org","Telephone Call","9309c356-d082-4baf-8820-34e1d79864c7","2023-09-29","Code_30","C171537"
"http://www.cdisc.org","Male","9ae3434e-65cc-428c-8992-bb44f8c886d2","2023-09-29","Code_72","C20197"
"http://www.cdisc.org","Female","2ebcd231-cacd-45cd-bc0b-54eece86338f","2023-09-29","Code_73","C16576"
"NCI Thesaurus","Sex","9356238a-8c59-446c-91d1-24293b5e1898","","Code_74","C28421"
"NCI Thesaurus","Sex","70b88a2d-c591-42b1-8459-0c28f3bc75b2","","Code_71","C28421"
"NCI Thesaurus","Race","00c1c125-f798-42cc-8e61-a192a4f55e0d","","Code_76","C17049"
"NCI Thesaurus","Race","d1753b9a-db82-4b5b-98eb-1ec9c3266570","","Code_75","C17049"
"NCI Thesaurus","Vital Signs Result","92fc01f8-f028-45e3-9284-7683de35a038","","Code_78","C173522"
"http://www.cdisc.org","Kilogram","3030b4ca-54b1-4b5b-a00b-3ee66675fde6","2023-09-29","Code_79","C28252"
"http://www.cdisc.org","Gram","cf3690f7-f5ea-42be-b9ae-de84212b79f3","2023-09-29","Code_80","C48155"
"http://www.cdisc.org","Pound","211eda1c-5519-40c7-84b6-b0cbfe38a13f","2023-09-29","Code_81","C48531"
"NCI Thesaurus","Unit of Weight","70d79fcc-420a-4fc6-96a9-e555d1890ccf","","Code_82","C48208"
"NCI Thesaurus","Body Weight","d9660295-a4fe-49c2-9424-79cf7cd9543f","","Code_77","C81328"
"http://www.cdisc.org","Active Comparator Arm","ecec2372-72b4-4614-9994-cff3e9d93253","2023-09-29","Code_31","C174267"
"http://www.cdisc.org","Data Generated Within Study","bb1c668b-29bd-477e-b39b-5f315eb5ca0d","2023-09-29","Code_32","C188866"
"http://www.cdisc.org","Placebo Comparator Arm","75dd2cb1-841b-4593-a21a-95243392a205","2023-09-29","Code_33","C174268"
"http://www.cdisc.org","Data Generated Within Study","4d71dab3-ba1a-45ac-9ec6-82c735180efd","2023-09-29","Code_34","C188866"
"http://www.cdisc.org","Open Label Study","80b3f790-97db-479a-82be-834b232f5248","2023-09-29","Code_41","C49659"
"http://www.cdisc.org","Trial Screening","236f85c5-0c0b-46c6-8210-aa50e7dd1e3c","2023-09-29","Code_35","C48262"
"http://www.cdisc.org","Baseline Epoch","6da8bc1d-8bcc-4c79-b01b-b77f3deeb869","2023-09-29","Code_36","C125938"
"http://www.cdisc.org","Treatment Epoch","1a435bed-b5b8-4b97-8290-9bf54927dbc7","2023-09-29","Code_37","C101526"
"http://www.cdisc.org","Clinical Study Follow-up","b9e2970b-f676-424c-bf93-3a50152e3462","2023-09-29","Code_38","C99158"
"SNOMED","Indication1","a2118cd3-9640-45a8-a3ce-87185295a9fd","January 31, 2018","Code_83","12345"
"SNOMED","Indication2","16b6d7e5-441f-4b18-a63b-9ad14b76489f","January 31, 2018","Code_84","345678"
"M11","role1","47732c8d-c999-42eb-a492-cff942f165a3","None set","Code_90","role1"
"http://www.cdisc.org","Pharmacologic Substance","56b538ee-4c99-4706-a4df-a6e311709798","2023-09-29","Code_91","C1909"
"http://www.cdisc.org","Day","e81c2572-acf8-4049-a5cc-a46853f1cfdd","2023-09-29","Code_94","C25301"
"SPONSOR","B","897aa8a5-edeb-4816-a960-c79bbeb0d020","12","Code_89","A"
"http://www.cdisc.org","Percentage","ce156d92-0f7a-4ba1-922f-0bfe5a1325b9","2023-09-29","Code_85","C25613"
"http://www.cdisc.org","Milligram","a32cd786-e8d6-44aa-9e36-34307b5b08bf","2023-09-29","Code_87","C28253"
"http://www.cdisc.org","Dental Route of Administration","908f06cb-0fdd-461a-b324-1583a7788877","2023-09-29","Code_86","C38197"
"http://www.cdisc.org","Ten Days Per Month","6a9d991a-656b-4d56-85ba-03f5076a34ce","2023-09-29","Code_88","C139179"
"M11","desig_1","864dab2f-7a7d-4fe6-8c58-4056162270c5","None set","Code_93","desig1"
"FDA","B","6d4227f2-287b-4259-aa85-822f668dde3c","None set","Code_92","A"
"M11","role2","a2d42ec6-5f5d-4995-be0b-98d0acba6c37","None set","Code_100","role2"
"http://www.cdisc.org","Pharmacologic Substance","f75129f1-e691-4fca-a5ca-b1c0380f146a","2023-09-29","Code_101","C1909"
"http://www.cdisc.org","Day","7136240e-dc2a-41f2-abff-80b6aaad8612","2023-09-29","Code_104","C25301"
"SPONSOR","B","5ce5a0c2-01e1-4f03-8fd5-a793e8d4c104","12","Code_99","A"
"http://www.cdisc.org","Percentage","b61bb50b-325b-4548-8398-32582dea1e43","2023-09-29","Code_95","C25613"
"http://www.cdisc.org","Milligram","4aab9e8e-a71a-4018-bdca-d5badaa93428","2023-09-29","Code_97","C28253"
"http://www.cdisc.org","Dental Route of Administration","940caa30-c57a-4134-96fc-36d801eda284","2023-09-29","Code_96","C38197"
"http://www.cdisc.org","Ten Days Per Month","b6d11f5d-98e2-47e7-8616-0d1eb805cb19","2023-09-29","Code_98","C139179"
"M11","desig_2","c01af586-f894-4d35-8d95-a1a0b4335d6a","None set","Code_103","desig2"
"FDA","B","3cb7b9c6-01c3-4344-ad82-e45a2bebc189","None set","Code_102","A"
"http://www.cdisc.org","Trial Primary Objective","88ad62d3-c0cb-4f6e-b33d-dd42a1d9b4d5","2023-09-29","Code_111","C85826"
"http://www.cdisc.org","Primary Endpoint","c67a3ece-10fe-4da1-9d34-41ff4ae17020","2023-09-29","Code_110","C94496"
"http://www.cdisc.org","Trial Secondary Objective","499f661d-9354-4c65-8f70-c0e4ba07a77d","2023-09-29","Code_113","C85827"
"http://www.cdisc.org","Secondary Endpoint","76f68ca4-8f09-4300-b8ac-59a683e9428f","2023-09-29","Code_112","C139173"
