"maxValue","minValue","isApproximate","id","uuid:ID"
"120.0","120.0","False","Range_2","0d186588-5bed-48cb-9d43-db46a360423f"
"100.0","100.0","False","Range_1","1ccca90f-8866-4752-8bcf-e87bd0806ddf"
