"id","label","uuid:ID","instanceType","name","isEnabled","isRequired","datatype"
"BiomedicalConceptProperty_116","DSDECOD","bd6ebad9-4e75-4f05-8c39-b6cb27c333cb","BiomedicalConceptProperty","DSDECOD","True","True","text"
"BiomedicalConceptProperty_117","DSTERM","09ba84fb-60aa-4633-9f06-a8779b6aaa18","BiomedicalConceptProperty","DSTERM","True","True","text"
"BiomedicalConceptProperty_118","DSSTDTC","e0945d37-256f-4998-9e60-be3cd0a1c55f","BiomedicalConceptProperty","DSSTDTC","True","True","datetime"
"BiomedicalConceptProperty_119","Sex","5a773145-8451-4156-afaa-27e11702ad78","BiomedicalConceptProperty","Sex","True","True","string"
"BiomedicalConceptProperty_120","Race","78a74f8a-7723-406b-8f6d-718f10c73bec","BiomedicalConceptProperty","Race","True","True","string"
"BiomedicalConceptProperty_121","VSTESTCD","203054b1-0b34-4183-8e39-c84f4701cde2","BiomedicalConceptProperty","VSTESTCD","True","True",""
"BiomedicalConceptProperty_122","VSORRES","edf57a4f-3a8b-4650-b9e0-24fd86204681","BiomedicalConceptProperty","VSORRES","True","True","float"
"BiomedicalConceptProperty_123","VSORRESU","4d72f4e3-d13f-4b27-8234-e9d719e1cacb","BiomedicalConceptProperty","VSORRESU","True","True",""
"BiomedicalConceptProperty_124","VSLOC","1a1a4509-0d9f-435d-8f3d-3676d29a3649","BiomedicalConceptProperty","VSLOC","True","True",""
"BiomedicalConceptProperty_125","VSTESTCD","d84360a5-6fc7-451a-91cc-c3f3d35017d4","BiomedicalConceptProperty","VSTESTCD","True","True",""
"BiomedicalConceptProperty_126","VSORRES","0ce79d26-1486-4a73-bdfe-04acd62c9c92","BiomedicalConceptProperty","VSORRES","True","True","float"
"BiomedicalConceptProperty_127","VSORRESU","f8c24638-4aae-4e52-8a41-ce82a48ef191","BiomedicalConceptProperty","VSORRESU","True","True",""
"BiomedicalConceptProperty_128","VSTESTCD","33d5519a-f1b7-49e3-ab73-458ea8dab659","BiomedicalConceptProperty","VSTESTCD","True","True",""
"BiomedicalConceptProperty_129","VSORRES","113b63a2-799e-433b-8b98-e5969a8380fc","BiomedicalConceptProperty","VSORRES","True","True","float"
"BiomedicalConceptProperty_130","VSORRESU","8936dcfb-d636-4528-9e29-de5ba42200ac","BiomedicalConceptProperty","VSORRESU","True","True",""
"BiomedicalConceptProperty_131","LBTESTCD","73f8d67b-435b-42ab-85ba-78cbe2628d78","BiomedicalConceptProperty","LBTESTCD","True","True",""
"BiomedicalConceptProperty_132","LBORRES","2fc0a6ba-5f8c-4e5b-b08a-944f745e603c","BiomedicalConceptProperty","LBORRES","True","True","float"
"BiomedicalConceptProperty_133","LBORRESU","8674d362-6cc8-48a4-894d-aa65b56453a7","BiomedicalConceptProperty","LBORRESU","True","True",""
"BiomedicalConceptProperty_134","LBSPEC","1d87b497-5ee7-4c9e-ad60-a5adc56cbf59","BiomedicalConceptProperty","LBSPEC","True","True",""
"BiomedicalConceptProperty_135","LBFAST","872f2ac4-e39a-431c-8927-aa4864d362ad","BiomedicalConceptProperty","LBFAST","True","True",""
"BiomedicalConceptProperty_136","LBTESTCD","3b1ae6f8-9f5a-49a7-b594-6f76b707dee4","BiomedicalConceptProperty","LBTESTCD","True","True",""
"BiomedicalConceptProperty_137","LBORRES","8c27b5fb-d8fe-4436-8464-e50448446303","BiomedicalConceptProperty","LBORRES","True","True","text"
"BiomedicalConceptProperty_138","LBSPEC","07d2e21f-a567-482d-89fb-01064683032e","BiomedicalConceptProperty","LBSPEC","True","True",""
"BiomedicalConceptProperty_139","LBFAST","c91208e6-3e69-4401-9568-b1cb0564cad6","BiomedicalConceptProperty","LBFAST","True","True",""
"BiomedicalConceptProperty_140","LBTESTCD","ae118207-6ae3-444a-aa95-524733744e12","BiomedicalConceptProperty","LBTESTCD","True","True",""
"BiomedicalConceptProperty_141","LBORRES","c400512c-366b-49d6-8f3e-6fc6cec20a24","BiomedicalConceptProperty","LBORRES","True","True","float"
"BiomedicalConceptProperty_142","LBORRESU","7863a4b7-8040-4c87-a960-c20857d8f9cc","BiomedicalConceptProperty","LBORRESU","True","True",""
"BiomedicalConceptProperty_143","LBSPEC","c595707d-1f91-486c-9a0a-382b99b4dba1","BiomedicalConceptProperty","LBSPEC","True","True",""
"BiomedicalConceptProperty_144","LBFAST","39aaf73b-d056-445c-af84-ede81c425cd2","BiomedicalConceptProperty","LBFAST","True","True",""
"BiomedicalConceptProperty_145","LBTESTCD","79e6ae91-c85e-4a76-a27e-b9d4ece69727","BiomedicalConceptProperty","LBTESTCD","True","True",""
"BiomedicalConceptProperty_146","LBORRES","924986b5-3ef7-467b-96ec-adf4c3018a4c","BiomedicalConceptProperty","LBORRES","True","True","float"
"BiomedicalConceptProperty_147","LBORRESU","d73f0e45-1d58-4982-8531-060cda136935","BiomedicalConceptProperty","LBORRESU","True","True",""
"BiomedicalConceptProperty_148","LBSPEC","9c5cf543-e715-4588-a616-9ebe149348df","BiomedicalConceptProperty","LBSPEC","True","True",""
"BiomedicalConceptProperty_149","LBFAST","a62181e3-daa3-4d56-b273-279728824087","BiomedicalConceptProperty","LBFAST","True","True",""
