"id","description","label","uuid:ID","dateValue","instanceType","name"
"GovernanceDate_1","Design approval date","Design Approval","8aa99b5d-fa89-428d-9a3f-61b5acb66915","2006-06-01","GovernanceDate","D_APPROVE"
"GovernanceDate_2","Protocol document approval date","Protocol Approval","fb4f37fb-8a70-49ef-a4b6-e9bff1bdf0a8","2006-07-01","GovernanceDate","P_APPROVE"
