"id:ID","otherReason","id","uuid"
"470","","StudyAmendmentReason_1","d7d9dcd5-412b-4cba-be9a-62e30ac71e35"
"471","Fix typographical errors","StudyAmendmentReason_2","b6bc7a0f-5f1a-4b00-90b4-dcdcceb65ce4"
