"id:ID","id","uuid"
"721","StudyCell_1","964a851c-5fa1-4bc5-8129-9c6ebe701b66"
"722","StudyCell_2","5260c9e7-ad9e-4ee9-9980-093e2313afb7"
"723","StudyCell_3","f83d5c53-a5fe-4ce1-acb7-a984b7d16587"
"724","StudyCell_4","9d486d1f-096b-445a-8be5-de30e4c209e0"
"725","StudyCell_5","016d264f-142c-42fd-9ab8-2d283ef0f622"
"726","StudyCell_6","da72fe78-f650-43e6-b00c-97f538dcb0ef"
"727","StudyCell_7","564b6ff7-aec8-4950-8898-876a834d21b9"
"728","StudyCell_8","ebaa6d64-f5f5-49e1-8e75-c196ee8fae72"
"729","StudyCell_9","b8475ec5-2372-4a89-9d6e-cb3f1442068c"
"730","StudyCell_10","eeaca9f6-0cc8-48a8-afd0-c83ecb6dec62"
"731","StudyCell_11","e421f4c0-d3a1-42cf-8d0c-0f8eb9be2485"
"732","StudyCell_12","76077237-c985-45b0-83d2-a898a1b6d57b"
"733","StudyCell_13","20c63455-244c-46f3-80cf-632cea30e685"
"734","StudyCell_14","02e455af-b5fc-420e-a859-0c3ccd530d86"
"735","StudyCell_15","41702a05-b6ad-41be-a034-1f37fbc16dfb"
