"id:ID","standardCodeAliases","id","uuid"
"314","[]","AliasCode_1","68446761-b434-4650-aa60-fbc65c57925c"
"315","[]","AliasCode_3","27762559-e8ec-4143-8ccb-7cb38fb2f125"
"316","[]","AliasCode_4","ab7e5071-02de-4acc-9e3b-26de2851e9ff"
"317","[]","AliasCode_109","73c59032-ffb2-442c-8982-2c83ee5fe5d3"
"318","[]","AliasCode_110","a0f5c9a3-e3cf-471a-8a59-9a8b2cb4a10d"
"319","[]","AliasCode_111","7ce479c9-ba2a-4f19-83aa-bd97f6d7a766"
"320","[]","AliasCode_108","6ff2905a-465c-4ed6-9b39-ea2334099de6"
"321","[]","AliasCode_113","530414aa-431d-44ce-9eb5-1e5fb3f4f1c2"
"322","[]","AliasCode_114","4fcff2f3-af4d-47dc-a9bb-487495c0635b"
"323","[]","AliasCode_112","91fe9b1a-d4da-467f-9ca3-0c68008f2376"
"324","[]","AliasCode_116","04eda29b-f54a-4172-bfcd-670576521c42"
"325","[]","AliasCode_117","9902fb6d-31b6-488f-aa48-eb584f3d6efe"
"326","[]","AliasCode_115","be596b0f-953c-45e3-b360-3e0a7d970f15"
"327","[]","AliasCode_119","ee9d8ac8-725f-4cab-9bdf-c47f1966e020"
"328","[]","AliasCode_120","91189967-7f1f-4ae6-80ea-cc14d3dc7350"
"329","[]","AliasCode_121","cad888f0-b56d-4c25-a836-d20c08f63d80"
"330","[]","AliasCode_122","1cfbf9da-9a37-4290-aaa5-1b15ee0507ba"
"331","[]","AliasCode_118","cb4e1774-fc3c-4e4e-a849-1789e606bfae"
"332","[]","AliasCode_124","f1483d54-2377-4f3b-a257-9ebe368c9ce9"
"333","[]","AliasCode_125","1a38e31b-4281-4f4e-9345-3b7045b03d94"
"334","[]","AliasCode_126","409e7ad6-93c6-48c3-8420-1fd4bea98130"
"335","[]","AliasCode_127","888d9fc7-394a-4517-95e2-329f3fdfc0ef"
"336","[]","AliasCode_123","9daec886-f835-4656-9cff-6949e9ef7540"
"337","[]","AliasCode_129","29daf3ac-8e7b-4cbb-b38d-5be67cbfbcf6"
"338","[]","AliasCode_130","7b2641e0-033d-474d-98bb-ff412d5ecc42"
"339","[]","AliasCode_131","8b61d2c4-18df-440e-9149-33ba09f07549"
"340","[]","AliasCode_132","f3ea54c1-1c5d-464c-825f-695a9f42b443"
"341","[]","AliasCode_128","20053fce-a2de-4c73-8291-68359ee134cc"
"342","[]","AliasCode_134","19138092-d903-475a-beda-8808960ec6d5"
"343","[]","AliasCode_135","b704fa93-9d12-4370-b883-513e7ba4e7a4"
"344","[]","AliasCode_136","c3e949bb-f698-4b94-9c30-b885278072e8"
"345","[]","AliasCode_137","cd908198-ad3a-48f2-879f-71514712f50a"
"346","[]","AliasCode_133","62d58581-ec29-4adc-ad33-5129f03396e9"
"347","[]","AliasCode_139","a5c0305c-3616-43b7-b1f7-f1a3de744a69"
"348","[]","AliasCode_140","92df0519-6643-4206-8566-d5c98a1010ee"
"349","[]","AliasCode_141","ad685298-ba3b-4bf9-999c-c22f5d1a9efe"
"350","[]","AliasCode_142","2752fe2c-d015-45c6-bfd0-1353aebad594"
"351","[]","AliasCode_138","a3e5bcdc-5efc-40a8-8a48-8164043afbd6"
"352","[]","AliasCode_144","4f437fa2-be25-44ab-91e6-8db8c741c919"
"353","[]","AliasCode_145","99d7e4dc-cddf-4bf7-9869-c529f9081f96"
"354","[]","AliasCode_146","81d9fb9f-0dcf-4365-bcbf-2c5afd6b00f9"
"355","[]","AliasCode_147","2a6ddbe4-d8a3-4774-9588-225af2e66077"
"356","[]","AliasCode_143","cd62ec5d-ae63-445f-bf37-4a276cc79ef3"
"357","[]","AliasCode_149","e341f3c3-2d1a-4e19-8c57-0d19465c17d9"
"358","[]","AliasCode_150","ea4a5fbb-6bce-4a23-9583-aa6c877dafa3"
"359","[]","AliasCode_151","3e1b89ed-74d7-4aa4-b97c-91d7e113fa76"
"360","[]","AliasCode_152","ac188f19-7f18-478d-ad09-a0f3a19264cb"
"361","[]","AliasCode_148","93acf806-e5f8-4e75-990a-44fd604c61a7"
"362","[]","AliasCode_7","deb18e41-1677-4c43-af4f-7759a64447ea"
"363","[]","AliasCode_8","dc17448a-266d-4f9a-9df9-76bc64a9f069"
"364","[]","AliasCode_9","11d9309e-ad52-4280-b8ce-18692e89de4e"
"365","[]","AliasCode_10","1a5f2444-0c27-4794-8867-de9e39a4e039"
"366","[]","AliasCode_11","53032e2a-6269-47d0-b37c-3c3faf0abfef"
"367","[]","AliasCode_12","98378cb2-bc94-451b-91e9-b2db108d0866"
"368","[]","AliasCode_13","09e5778a-007a-45a4-abcb-3b1d84650560"
"369","[]","AliasCode_14","cb3ce97f-35e7-49d1-b847-273ddc8fe1ee"
"370","[]","AliasCode_15","3f1db048-35ef-46fc-a3e5-3c46d4702730"
"371","[]","AliasCode_16","a061551c-546a-45f4-9b05-1208b8a33277"
"372","[]","AliasCode_17","5d5a16b4-efc8-4fc4-a1e3-5005e7240e84"
"373","[]","AliasCode_18","b63f81b0-fd39-4f5d-b993-e37d6d929997"
"374","[]","AliasCode_19","6afae60f-552d-4a1a-94ef-d878dd1d87fe"
"375","[]","AliasCode_20","adcfa61f-189c-491b-94b3-7090bc6bb2f4"
"376","[]","AliasCode_6","c41d49c6-d61f-40d1-a7ab-72ddf03d21bd"
"377","[]","AliasCode_22","3be12e6d-4e62-4e91-b840-900640ced2e8"
"378","[]","AliasCode_23","133d9142-49b1-499e-87ae-075922074c49"
"379","[]","AliasCode_24","7a5efd7f-a83c-4966-a728-abd33168c212"
"380","[]","AliasCode_25","c587f0a9-0598-462d-b01a-448d4998efc3"
"381","[]","AliasCode_26","c40a6493-7569-4d94-9d90-9edacdf71a15"
"382","[]","AliasCode_27","a354b312-c22c-4091-bbfb-42956fe57339"
"383","[]","AliasCode_21","f0f89744-0e4c-4e81-bdfc-b4661ea01dad"
"384","[]","AliasCode_29","71adfc16-0240-4aee-b624-cbec5df2a91d"
"385","[]","AliasCode_30","13446a41-9cc0-42e4-a716-293e223d75cb"
"386","[]","AliasCode_31","49dca52d-d841-46d1-bbba-cd38342d4796"
"387","[]","AliasCode_32","a4d1bf4a-36e5-4c36-8a62-9787899143aa"
"388","[]","AliasCode_33","f7884725-e5dc-468f-8b39-23003165b505"
"389","[]","AliasCode_34","6cd50b35-e32a-4fc0-b340-0193499bf817"
"390","[]","AliasCode_28","58d28193-1977-48a9-8b3c-049b9c601ec5"
"391","[]","AliasCode_36","c70b3f59-7a61-4c77-b66b-6017468cbaa1"
"392","[]","AliasCode_37","baa94af6-2076-49c4-a6ed-35a83df4a8b6"
"393","[]","AliasCode_38","ebb7763a-095b-401d-8c73-995fa70ec696"
"394","[]","AliasCode_35","8c2ddda5-07e2-4c15-923b-c3c4e7fd45e9"
"395","[]","AliasCode_40","c8ce17bd-97e9-4e81-8c78-5dd646d6037c"
"396","[]","AliasCode_41","d23a1313-7305-4dd2-b32a-28bba3eae42d"
"397","[]","AliasCode_39","b2b15e12-f1bb-4495-9417-cfa88fde74ca"
"398","[]","AliasCode_43","f89140e1-45ee-4b93-864e-e1dcb9d4a953"
"399","[]","AliasCode_44","686d77af-13e8-4f3f-9b15-67e019b340cc"
"400","[]","AliasCode_42","3b567007-cd4b-4c9f-85c6-fb2377c48dd0"
"401","[]","AliasCode_46","79d4802b-1b6e-4ae5-8101-61da93f4c66b"
"402","[]","AliasCode_47","51220b4d-9532-49dc-9145-a1ebfbc36aa4"
"403","[]","AliasCode_48","97355b37-97b2-48da-8d87-ef83e64d378a"
"404","[]","AliasCode_49","25bb3bb6-cfac-4c87-ad3b-ab6941503292"
"405","[]","AliasCode_45","fc766062-814c-4a6e-a9e8-f016acf59305"
"406","[]","AliasCode_51","8248e9a3-01b1-4543-90ba-2342ad1dfd6d"
"407","[]","AliasCode_52","1c731e2d-f9e5-410d-817c-007fa26b0c60"
"408","[]","AliasCode_53","b0f301d0-323c-4fdb-8153-f52efaa85173"
"409","[]","AliasCode_54","01b1f0d0-2aed-4f39-bbd7-18491b162964"
"410","[]","AliasCode_50","f78e4c39-8026-48c9-a104-c33ebe0e6f9f"
"411","[]","AliasCode_56","27d5cdd3-2be7-4524-90a5-c56b3f53791f"
"412","[]","AliasCode_57","b661b033-4069-4043-90bc-e502af8671ab"
"413","[]","AliasCode_58","97811a8c-86eb-41a1-8cf1-ce8f4b881122"
"414","[]","AliasCode_59","f03da5ea-eec9-4e01-a04a-0002518a80eb"
"415","[]","AliasCode_55","f965d38b-13a6-4323-a977-27086b681b75"
"416","[]","AliasCode_61","4ad0f74a-f476-4e22-a848-b7bab063cf47"
"417","[]","AliasCode_62","7689a393-4e6d-4e4e-b1ec-113437e75470"
"418","[]","AliasCode_63","6d778238-396b-47af-9a21-fb74a943bf5a"
"419","[]","AliasCode_64","a089f83e-3838-4cdd-9e32-a93b1b57a9dd"
