"codeSystem","code","uuid:ID","codeSystemVersion","id","decode"
"http://www.cdisc.org","C98388","73217969-5aae-4d1d-be22-99122eaf8a95","2023-09-29","Code_1","Interventional Study"
"http://www.cdisc.org","C15602","06b4042b-2de6-40cf-9bed-3ad1e5150b85","2023-09-29","Code_2","Phase III Trial"
"http://www.cdisc.org","C132352","a232e3e8-6d96-46fa-9ff3-264874d19908","2023-09-29","Code_6","Sponsor Approval Date"
"http://www.cdisc.org","C68846","0edb38d7-38b0-402e-8642-b03b1e229e87","2023-09-29","Code_7","Global"
"SPONSOR","VAC","462c72b2-c371-47dc-8727-892c075af7ca","12","Code_3","Vacines Group"
"SPONSOR","REG","4a12ca08-0af9-4368-87b2-5073e148af6a","12","Code_4","Regulatory"
"http://www.cdisc.org","C93453","fbaf5951-d6bb-4af9-a242-f902e72ce462","2023-09-29","Code_10","Study Registry"
"ISO 3166 1 alpha3","GBR","66a9d4f0-1b75-4e94-8968-436310bf3624","2020-08","Code_11","United Kingdom of Great Britain and Northern Ireland"
"http://www.cdisc.org","C70793","a6df77b1-5eb0-4e38-9771-e989c5b89972","2023-09-29","Code_12","Clinical Study Sponsor"
"ISO 3166 1 alpha3","FRA","06952fcf-65b8-4083-8240-be18f0ca10e0","2020-08","Code_13","France"
"http://www.cdisc.org","C15714","3a799bbc-94ea-4104-a363-2b8e3032d1ee","2023-09-29","Code_42","Basic Research"
"http://www.cdisc.org","C139174","1d120a80-03c6-44a2-96b4-a262d1208bcb","2023-09-29","Code_43","Device Feasibility Study"
"http://www.cdisc.org","C49666","c618ba02-f3bd-48a8-8d6b-cb84819434bf","2023-09-29","Code_44","Efficacy Study"
"SPONSOR","T2_DIABETES","607f4013-d2ad-45f0-a6cb-d42ee05afe28","12","Code_39","Type 2 diabetes"
"SNOMED","73211009","5af7d5f4-87f6-4374-ae35-584c3dccb181","January 31, 2018","Code_40","Diabetes mellitus (disorder)"
"http://www.cdisc.org","C82639","f3a1236a-d7e9-41bf-b5cd-0e5dc6380b98","2023-09-29","Code_45","Parallel Study"
"http://www.cdisc.org","C25716","4fee1509-00ec-4a0a-b61c-03a2ca1b7023","2023-09-29","Code_16","Visit"
"http://www.cdisc.org","C51282","0a604858-03c6-482a-aed5-52fd7a3ccaa5","2023-09-29","Code_17","Clinic"
"http://www.cdisc.org","C175574","7bd5154d-e054-44eb-adc6-1be3d62d4577","2023-09-29","Code_18","In Person"
"http://www.cdisc.org","C25716","45ce7a3d-774d-44dd-8e6a-6e2c7bdfe28f","2023-09-29","Code_19","Visit"
"http://www.cdisc.org","C51282","64e1dfe2-ec95-415e-9ad3-3d1050613538","2023-09-29","Code_20","Clinic"
"http://www.cdisc.org","C175574","7abb3fd1-1a8a-402c-95d5-928eae0aebba","2023-09-29","Code_21","In Person"
"http://www.cdisc.org","C25716","e9cf1baa-7ffa-4e80-9d1d-d9aebb6b9c18","2023-09-29","Code_22","Visit"
"http://www.cdisc.org","C51282","6468488f-bc46-4a82-8b4d-6d98bc6425e0","2023-09-29","Code_23","Clinic"
"http://www.cdisc.org","C175574","26ec9f92-878b-446d-b511-ac10d25b281a","2023-09-29","Code_24","In Person"
"http://www.cdisc.org","C25716","2729ad49-3496-4ed4-a3c2-a5e9a6149a82","2023-09-29","Code_25","Visit"
"http://www.cdisc.org","C51282","ef97588f-82d2-4fcf-926e-b3561eba3c19","2023-09-29","Code_26","Clinic"
"http://www.cdisc.org","C175574","089824c2-cd84-4872-9cbd-663982a4e16e","2023-09-29","Code_27","In Person"
"http://www.cdisc.org","C25716","e739db43-41fe-4879-a554-fc01fb63d15c","2023-09-29","Code_28","Visit"
"http://www.cdisc.org","C18002","0c64cbe0-b258-4936-92d6-30c0705249f9","2023-09-29","Code_29","Home"
"http://www.cdisc.org","C171537","9001d41f-1eb3-426d-b264-1af71f53484c","2023-09-29","Code_30","Telephone Call"
"http://www.cdisc.org","C20197","7e3bde2e-d6aa-45d0-960f-b519a53944a9","2023-09-29","Code_72","Male"
"http://www.cdisc.org","C16576","c12d283a-209b-4049-a130-c6fc9c784337","2023-09-29","Code_73","Female"
"http://www.cdisc.org","C17998","c80799e6-d0db-463c-8d47-aff68c7869d0","2023-09-29","Code_74","Unknown"
"NCI Thesaurus","C28421","cb80546c-3953-47f1-9c92-5ddd9179c4db","","Code_75","Sex"
"NCI Thesaurus","C28421","f8c25859-9175-4114-bffd-6ec20826c47b","","Code_71","Sex"
"http://www.cdisc.org","C17998","9615deb0-688d-4bd8-8740-4fe6b807c80a","2023-09-29","Code_77","Unknown"
"NCI Thesaurus","C17049","48e994f8-02f8-4411-aeb4-a16505c8cc22","","Code_78","Race"
"NCI Thesaurus","C17049","7b41d53c-ab8c-4cfd-ac06-ff97555137b3","","Code_76","Race"
"NCI Thesaurus","C173522","e458086c-4ad4-449c-a56e-060fa5bc0260","","Code_80","Vital Signs Result"
"http://www.cdisc.org","C28252","a090e55b-ad09-42af-9545-3cfb36099f69","2023-09-29","Code_81","Kilogram"
"http://www.cdisc.org","C48155","5945495f-2953-47fe-aa6c-a13e20e08e1e","2023-09-29","Code_82","Gram"
"http://www.cdisc.org","C48531","d9fd67af-b7ff-4c63-9dfd-a3eb98c5d5ae","2023-09-29","Code_83","Pound"
"NCI Thesaurus","C48208","a43a2fdc-4356-4734-8843-83c7607846d0","","Code_84","Unit of Weight"
