"maxValue","id","instanceType","isApproximate","minValue","uuid:ID"
"300.0","Range_2","Range","False","300.0","93e4367d-5f59-4a90-a942-1701cda9975b"
"300.0","Range_1","Range","False","300.0","7aaea612-d8ae-4e52-bd0c-3f0f3bfe0f39"
"100.0","Range_3","Range","False","50.0","304103f3-e38a-4073-99a8-2848f4363133"
