"otherReason","id","instanceType","uuid:ID"
"","StudyAmendmentReason_1","StudyAmendmentReason","154796c8-41b3-41d0-97e3-969b6bf5e535"
"Fix typographical errors","StudyAmendmentReason_2","StudyAmendmentReason","280c2069-0465-4725-b66b-eb2a89e8f3a7"
