"label","uuid:ID","datatype","name","id","isRequired","instanceType","isEnabled"
"DSDECOD","13e58bd8-8fff-4f39-b5f4-5018f66d8f20","text","DSDECOD","BiomedicalConceptProperty_116","True","BiomedicalConceptProperty","True"
"DSTERM","07760350-8315-4eb4-9093-874278feaa61","text","DSTERM","BiomedicalConceptProperty_117","True","BiomedicalConceptProperty","True"
"DSSTDTC","a991908b-5f23-4a52-a1c1-4a7b2b4a9f1f","datetime","DSSTDTC","BiomedicalConceptProperty_118","True","BiomedicalConceptProperty","True"
"Sex","c7270812-9405-4e9b-a44c-d2ee53913c3a","string","Sex","BiomedicalConceptProperty_119","True","BiomedicalConceptProperty","True"
"Race","22f5fca1-0ffb-4bba-81a9-5ef90acc3344","string","Race","BiomedicalConceptProperty_120","True","BiomedicalConceptProperty","True"
"VSTESTCD","6f9f9ec6-7124-4e4a-923a-d430e5825d2f","","VSTESTCD","BiomedicalConceptProperty_121","True","BiomedicalConceptProperty","True"
"VSORRES","75428651-2aca-4c2b-ba3b-d9c1988e8a3e","float","VSORRES","BiomedicalConceptProperty_122","True","BiomedicalConceptProperty","True"
"VSORRESU","be1dae56-b1d1-4365-b13c-62639c9c6d6c","","VSORRESU","BiomedicalConceptProperty_123","True","BiomedicalConceptProperty","True"
"VSLOC","7e676b06-73ef-4e3d-839f-2939e92f9004","","VSLOC","BiomedicalConceptProperty_124","True","BiomedicalConceptProperty","True"
"VSTESTCD","5485a9fc-4a25-45df-8d17-50a5fbde64d6","","VSTESTCD","BiomedicalConceptProperty_125","True","BiomedicalConceptProperty","True"
"VSORRES","cb3f2ff1-9433-47b0-b6f1-427369e854a3","float","VSORRES","BiomedicalConceptProperty_126","True","BiomedicalConceptProperty","True"
"VSORRESU","f959445c-b5fc-4640-bc46-b53f1a8330bb","","VSORRESU","BiomedicalConceptProperty_127","True","BiomedicalConceptProperty","True"
"VSTESTCD","7a9de030-f4da-4b72-8c7e-05997fa5444d","","VSTESTCD","BiomedicalConceptProperty_128","True","BiomedicalConceptProperty","True"
"VSORRES","19fa9922-908e-4550-a25c-d5e2a6a1a126","float","VSORRES","BiomedicalConceptProperty_129","True","BiomedicalConceptProperty","True"
"VSORRESU","177e123f-5473-462c-8822-1ed0566c0486","","VSORRESU","BiomedicalConceptProperty_130","True","BiomedicalConceptProperty","True"
"LBTESTCD","cc1d7aeb-043f-4523-b814-23ae9c3e358b","","LBTESTCD","BiomedicalConceptProperty_131","True","BiomedicalConceptProperty","True"
"LBORRES","6e08e5da-e6ae-4121-b793-78d9fc10f121","float","LBORRES","BiomedicalConceptProperty_132","True","BiomedicalConceptProperty","True"
"LBORRESU","470dbfe5-91e3-4fa2-98d0-e3828088c08b","","LBORRESU","BiomedicalConceptProperty_133","True","BiomedicalConceptProperty","True"
