"uuid:ID","id","studyIdentifier","instanceType"
"31efba47-e3f5-4b8b-a27e-acf9a1c3cb9a","StudyIdentifier_1","H2Q-MC-LZZT","StudyIdentifier"
"59022222-6865-44f3-898d-b3864db3c048","StudyIdentifier_2","NCT12345678","StudyIdentifier"
