"label","uuid:ID","dateValue","name","id","description","instanceType"
"Design Approval","22bfd53f-180a-4ea4-808f-0429e54bdc81","2006-06-01","D_APPROVE","GovernanceDate_1","Design approval date","GovernanceDate"
"Protocol Approval","8a09520c-7794-425b-9656-703b6372efde","2006-07-01","P_APPROVE","GovernanceDate_2","Protocol document approval date","GovernanceDate"
