"uuid:ID","otherReason","id","instanceType"
"0711e6e0-9877-4426-a99e-03ace6743cb6","","StudyAmendmentReason_1","StudyAmendmentReason"
"3ca76a37-28b5-46c9-8737-cee2402221f9","Fix typographical errors","StudyAmendmentReason_2","StudyAmendmentReason"
