"instanceType","name","uuid:ID","label","isRequired","datatype","id","isEnabled"
"BiomedicalConceptProperty","DSDECOD","87aae069-98ed-43d1-9271-a0d71d9f1807","DSDECOD","True","text","BiomedicalConceptProperty_116","True"
"BiomedicalConceptProperty","DSTERM","25f3c42a-b452-4405-a855-8f25ad5d6cf7","DSTERM","True","text","BiomedicalConceptProperty_117","True"
"BiomedicalConceptProperty","DSSTDTC","fede09cb-99bd-47d5-b658-a8afd94d8b94","DSSTDTC","True","datetime","BiomedicalConceptProperty_118","True"
"BiomedicalConceptProperty","Sex","9d327483-a93f-4c72-a97a-d4ff2f740ecf","Sex","True","string","BiomedicalConceptProperty_119","True"
"BiomedicalConceptProperty","Race","a7d67cfe-9ebf-4f8d-b4ba-fc47d7bb81be","Race","True","string","BiomedicalConceptProperty_120","True"
"BiomedicalConceptProperty","VSTESTCD","77190971-f2e9-4941-a3c5-62d4502c80b7","VSTESTCD","True","","BiomedicalConceptProperty_121","True"
"BiomedicalConceptProperty","VSORRES","e181bc4a-38c1-496b-97ee-f466beaadd86","VSORRES","True","float","BiomedicalConceptProperty_122","True"
"BiomedicalConceptProperty","VSORRESU","36511ee6-a601-4330-afdd-0ffa9c8eb1bb","VSORRESU","True","","BiomedicalConceptProperty_123","True"
"BiomedicalConceptProperty","VSLOC","b87dcae6-cc9d-419a-9b05-94450a4d524b","VSLOC","True","","BiomedicalConceptProperty_124","True"
"BiomedicalConceptProperty","VSTESTCD","ef8cc397-963a-498f-a881-15e37f3ed63b","VSTESTCD","True","","BiomedicalConceptProperty_125","True"
"BiomedicalConceptProperty","VSORRES","c5600e64-22de-4d05-9c48-844037c98745","VSORRES","True","float","BiomedicalConceptProperty_126","True"
"BiomedicalConceptProperty","VSORRESU","d4dd5f97-dc9c-4e4a-910e-ead55e5972e0","VSORRESU","True","","BiomedicalConceptProperty_127","True"
"BiomedicalConceptProperty","VSTESTCD","ffa9f5e0-03d7-4ab6-bd12-f21f7cc32de9","VSTESTCD","True","","BiomedicalConceptProperty_128","True"
"BiomedicalConceptProperty","VSORRES","b4de17ee-ffa8-44e5-adad-5cd93bbe175b","VSORRES","True","float","BiomedicalConceptProperty_129","True"
"BiomedicalConceptProperty","VSORRESU","f43d2c12-5da4-4bfa-9725-5815e9ebaa1b","VSORRESU","True","","BiomedicalConceptProperty_130","True"
"BiomedicalConceptProperty","LBTESTCD","91df5317-4468-4429-9cd1-876841fa4919","LBTESTCD","True","","BiomedicalConceptProperty_131","True"
"BiomedicalConceptProperty","LBORRES","b74cac22-081a-4d7f-baea-814059956c04","LBORRES","True","float","BiomedicalConceptProperty_132","True"
"BiomedicalConceptProperty","LBORRESU","baa1fd10-d3e0-4d26-8e9d-2275cc24bbbb","LBORRESU","True","","BiomedicalConceptProperty_133","True"
"BiomedicalConceptProperty","LBSPEC","7ee9a2b1-122c-4c4c-846a-bca540e496a8","LBSPEC","True","","BiomedicalConceptProperty_134","True"
"BiomedicalConceptProperty","LBFAST","dd14af5e-f721-4180-abc1-a611624465ae","LBFAST","True","","BiomedicalConceptProperty_135","True"
"BiomedicalConceptProperty","LBTESTCD","49ea93e3-6749-4f15-83a4-95626228b207","LBTESTCD","True","","BiomedicalConceptProperty_136","True"
"BiomedicalConceptProperty","LBORRES","72beec79-dad1-482b-8b4c-fb15ab2208e4","LBORRES","True","text","BiomedicalConceptProperty_137","True"
"BiomedicalConceptProperty","LBSPEC","0db7fb94-4d05-4461-9007-cab1e71173fc","LBSPEC","True","","BiomedicalConceptProperty_138","True"
"BiomedicalConceptProperty","LBFAST","e5e84d73-9a82-4325-9b85-5a3077d9ad82","LBFAST","True","","BiomedicalConceptProperty_139","True"
