"description","instanceType","name","uuid:ID","label","id"
"Dictionary for IE","SyntaxTemplateDictionary","IE_Dict","87023ac3-42f2-4d34-9af2-7132ec62d3c0","IE Dictionary","SyntaxTemplateDictionary_1"
"Dictionary for Study Assessments","SyntaxTemplateDictionary","AS_Dict","d414a2b5-b0cd-4f52-9b31-ad0b311d4e06","Assessment Dictionary","SyntaxTemplateDictionary_2"
