"codeSystem","codeSystemVersion","uuid:ID","code","decode","id"
"http://www.cdisc.org","2023-09-29","b778201c-1881-436e-999a-ddc3ce6d451e","C98388","Interventional Study","Code_1"
"http://www.cdisc.org","2023-09-29","fca50a51-bde1-4ccd-9cbe-4ba8310fa226","C15602","Phase III Trial","Code_2"
"http://www.cdisc.org","2023-09-29","a85cbb86-0fb0-4575-918e-e8f501473560","C132352","Sponsor Approval Date","Code_6"
"http://www.cdisc.org","2023-09-29","209b378b-b454-45f6-8071-c3ce716c136b","C68846","Global","Code_7"
"SPONSOR","12","f211b524-ba9b-4e85-af38-b3e88217c451","VAC","Vacines Group","Code_3"
"SPONSOR","12","ee56b9f6-f8be-4a02-a687-315072e97c87","REG","Regulatory","Code_4"
"http://www.cdisc.org","2023-09-29","d01a7545-c499-4229-8cc3-0022015fc53e","C93453","Study Registry","Code_10"
"ISO 3166 1 alpha3","2020-08","f9d6eae7-84da-437c-a670-fbec5f63df1a","GBR","United Kingdom of Great Britain and Northern Ireland","Code_11"
"http://www.cdisc.org","2023-09-29","f323053f-7313-42f3-8f94-7e4ab841f6c8","C70793","Clinical Study Sponsor","Code_12"
"ISO 3166 1 alpha3","2020-08","de799b17-9508-4564-837e-9cbde238e955","FRA","France","Code_13"
"http://www.cdisc.org","2023-09-29","03ddf99e-87fa-4dfd-bc18-2428a7ae86a1","C15714","Basic Research","Code_42"
"http://www.cdisc.org","2023-09-29","3137adc9-19ef-4ca7-af74-eb9709f4454b","C139174","Device Feasibility Study","Code_43"
"http://www.cdisc.org","2023-09-29","3f32cf9d-e54e-4bd6-b7cb-4d7378a2aed5","C49666","Efficacy Study","Code_44"
"SPONSOR","12","f16e3d0b-9fc9-4e6d-9e27-0b7a3cf70277","T2_DIABETES","Type 2 diabetes","Code_39"
"SNOMED","January 31, 2018","44181609-683e-4022-ba84-5b75472a2021","73211009","Diabetes mellitus (disorder)","Code_40"
"http://www.cdisc.org","2023-09-29","7fc4b5ae-61f3-4ca4-ba74-27c83a0ab5a8","C82639","Parallel Study","Code_45"
"http://www.cdisc.org","2023-09-29","b116abb9-26b1-471f-b3c4-5c2ab417d166","C25716","Visit","Code_16"
"http://www.cdisc.org","2023-09-29","32228e39-4b45-478e-8e8d-ca4a8ef22c8c","C51282","Clinic","Code_17"
"http://www.cdisc.org","2023-09-29","7228b2f9-812d-47e7-999b-58e5ac73306c","C175574","In Person","Code_18"
"http://www.cdisc.org","2023-09-29","e7fbfc85-0a2d-4f03-b109-8c7e643ae487","C25716","Visit","Code_19"
"http://www.cdisc.org","2023-09-29","d862b532-43f5-40da-ac52-1663cf848ae2","C51282","Clinic","Code_20"
"http://www.cdisc.org","2023-09-29","27b39d39-ff5b-4085-9b1f-906725a121a6","C175574","In Person","Code_21"
"http://www.cdisc.org","2023-09-29","c7322c6b-91bb-41e9-bc72-8279573975f2","C25716","Visit","Code_22"
"http://www.cdisc.org","2023-09-29","824f6de2-8ded-44bd-8fc2-69a78b76b8fc","C51282","Clinic","Code_23"
"http://www.cdisc.org","2023-09-29","0f171b4b-7324-4c94-9316-0fcc06dee719","C175574","In Person","Code_24"
"http://www.cdisc.org","2023-09-29","b77f2cf7-87ca-40e6-a8b8-7e37c009c9b4","C25716","Visit","Code_25"
"http://www.cdisc.org","2023-09-29","1c5c8062-02d0-4666-8abd-6addccd01cb4","C51282","Clinic","Code_26"
"http://www.cdisc.org","2023-09-29","5209d91c-f538-46c6-a430-77848ce10628","C175574","In Person","Code_27"
"http://www.cdisc.org","2023-09-29","f917aa7e-1fec-4e2d-98da-fbc2f72c07ba","C25716","Visit","Code_28"
"http://www.cdisc.org","2023-09-29","fd883052-ff5a-47ef-81ae-f63de9d2526e","C18002","Home","Code_29"
"http://www.cdisc.org","2023-09-29","95e2e4e6-0e0a-42c8-9504-65982ed6c70c","C171537","Telephone Call","Code_30"
"http://www.cdisc.org","2023-09-29","b83c7a2d-42aa-4153-b40f-8974cccde4b7","C20197","Male","Code_72"
"http://www.cdisc.org","2023-09-29","ce7333af-7446-4feb-83c8-26a2769c9a6b","C16576","Female","Code_73"
"http://www.cdisc.org","2023-09-29","3092e24c-396c-4573-a8a2-5fbcfb7c35db","C17998","Unknown","Code_74"
"NCI Thesaurus","","108c2edc-c6ef-49b2-8637-618c548bbd11","C28421","Sex","Code_75"
"NCI Thesaurus","","f08d9f52-9212-46f8-9a18-050162ded37c","C28421","Sex","Code_71"
"http://www.cdisc.org","2023-09-29","bb534297-e1d0-4990-b0f3-6964024e0b25","C17998","Unknown","Code_77"
"NCI Thesaurus","","6f2b35bb-9089-42fc-8685-4358faaebada","C17049","Race","Code_78"
"NCI Thesaurus","","c8a7bb61-c3ab-4db6-9542-04a840991757","C17049","Race","Code_76"
"NCI Thesaurus","","ade06485-f04b-43b3-8ccc-253d5752bd6a","C173522","Vital Signs Result","Code_80"
"http://www.cdisc.org","2023-09-29","ef644c8a-133f-4af8-b2de-c01d0fa8216b","C28252","Kilogram","Code_81"
"http://www.cdisc.org","2023-09-29","c5999d3e-e88d-4306-9992-a5a715f0c3d8","C48155","Gram","Code_82"
"http://www.cdisc.org","2023-09-29","69621957-df3d-4ef1-874e-a7a98623efc1","C48531","Pound","Code_83"
"NCI Thesaurus","","aa898225-0c5f-4361-95f3-7a382f74a47c","C48208","Unit of Weight","Code_84"
"NCI Thesaurus","","b7aba348-6641-44a2-a8a3-ae10a5950cf3","C81328","Body Weight","Code_79"
"http://www.cdisc.org","2023-09-29","695e8fe8-77e1-4dfe-b477-136aecd9fbc6","C174267","Active Comparator Arm","Code_31"
"http://www.cdisc.org","2023-09-29","27c0c2f3-70a0-4939-a339-f3f871d58421","C188866","Data Generated Within Study","Code_32"
"http://www.cdisc.org","2023-09-29","7d02378e-8c2a-43b4-9e51-2e61905fe74f","C174268","Placebo Comparator Arm","Code_33"
"http://www.cdisc.org","2023-09-29","6db76732-1a25-4a22-aa8c-05e584b6a14e","C188866","Data Generated Within Study","Code_34"
"http://www.cdisc.org","2023-09-29","b19ed192-5205-4a27-805c-c2319a1a48fc","C49659","Open Label Study","Code_41"
"http://www.cdisc.org","2023-09-29","9890a920-9fbb-4e87-b498-12bbdf469ca0","C48262","Trial Screening","Code_35"
"http://www.cdisc.org","2023-09-29","08410442-59fb-4284-adf5-0d4c859f806f","C125938","Baseline Epoch","Code_36"
"http://www.cdisc.org","2023-09-29","0e31aa1a-d044-4923-9821-40af05795f2d","C101526","Treatment Epoch","Code_37"
"http://www.cdisc.org","2023-09-29","e2d54d6b-dbca-4d79-9044-a1a9da976868","C99158","Clinical Study Follow-up","Code_38"
"SNOMED","January 31, 2018","ec8e817c-fa1d-4b01-8d72-ecc924220c10","12345","Indication1","Code_85"
"SNOMED","January 31, 2018","adbfa5e8-774a-42fb-81a1-19b1b3895d49","345678","Indication2","Code_88"
"ICD-10","None set","98ca4f01-abeb-4cef-8aab-38cb27246c20","X","Y","Code_86"
"SNOMED","January 31, 2018","4bca3f79-5718-4448-bb41-1812e9bde1ef","A","B","Code_87"
"ICD-10","None set","a6732efd-119c-4f77-8c75-e16b44cbb8ae","DD","CC","Code_89"
"SNOMED","January 31, 2018","6bdf00e4-fc14-4a7c-863e-c316e4da82a7","A","B","Code_90"
"http://www.cdisc.org","2023-09-29","e0642f8e-d0b6-428b-8a03-c05c2b916e5f","C85826","Trial Primary Objective","Code_95"
"http://www.cdisc.org","2023-09-29","379c52b9-ec50-4e14-a189-3673aa34b678","C94496","Primary Endpoint","Code_94"
"http://www.cdisc.org","2023-09-29","0bf3a22c-cd3d-4a23-b9b0-30824e9b832e","C85827","Trial Secondary Objective","Code_97"
"http://www.cdisc.org","2023-09-29","fd87377a-d0c2-4276-a8b8-833d0cd205de","C139173","Secondary Endpoint","Code_96"
"http://www.cdisc.org","2023-09-29","a2db9059-afa3-47d2-b4a4-62c8a2bc485e","C139173","Secondary Endpoint","Code_98"
"http://www.cdisc.org","2023-09-29","d20eb617-72eb-4eba-a388-131a1e9aa69c","C139173","Secondary Endpoint","Code_99"
"http://www.cdisc.org","2023-09-29","867988d5-5d00-4682-b2c2-57dc804fde10","C139173","Secondary Endpoint","Code_100"
"http://www.cdisc.org","2023-09-29","9b8c3b80-f1ab-48d6-89d3-b27e4c7a3faa","C139173","Secondary Endpoint","Code_101"
"http://www.cdisc.org","2023-09-29","cd30828d-7664-4012-878d-9c1a2212faf0","C139173","Secondary Endpoint","Code_102"
"http://www.cdisc.org","2023-09-29","d62c75c6-b1f7-4e48-aec7-7f06e5107bcc","C139173","Secondary Endpoint","Code_103"
"http://www.cdisc.org","2023-09-29","84406d47-c19d-47fb-993d-111aee593a22","C139173","Secondary Endpoint","Code_104"
"http://www.cdisc.org","2023-09-29","3558e8b2-58a6-4f2e-a4f7-c3708918c1e4","C139173","Secondary Endpoint","Code_105"
"http://www.cdisc.org","2023-09-29","b80ec826-cde1-4a04-b22e-f55c1b9820b5","C139173","Secondary Endpoint","Code_106"
"http://www.cdisc.org","2023-09-29","c555d414-ff3d-4e74-a7d6-98fc8d672df9","C139173","Secondary Endpoint","Code_107"
"http://www.cdisc.org","2023-09-29","e0ae8495-85a4-4e7c-be28-deb2df17b27c","C49636","Both","Code_91"
"http://www.cdisc.org","2023-09-29","3c667ccf-afd9-4bb1-85fc-2af6e9b14be7","C20197","Male","Code_92"
"http://www.cdisc.org","2023-09-29","4199fc62-ac65-4ea5-b1b4-be5297afe9b5","C16576","Female","Code_93"
"http://www.cdisc.org","2023-09-29","458b9837-99b7-459f-8f3e-c4c140988190","C201264","Before","Code_48"
"http://www.cdisc.org","2023-09-29","1aa7099f-ad28-43f7-821f-ef21fde27532","C201265","Start to Start","Code_50"
"http://www.cdisc.org","2023-09-29","71eb3323-f0cc-45a9-8112-a55e234dcc21","C201264","Before","Code_53"
"http://www.cdisc.org","2023-09-29","4257e24e-484b-440b-b638-0f29d4e45f1f","C201265","Start to Start","Code_55"
"http://www.cdisc.org","2023-09-29","213d99ce-cb3a-48d9-b6f7-59feba036fc9","C201264","Fixed Reference","Code_56"
"http://www.cdisc.org","2023-09-29","8802bffe-5730-4fb3-ba3f-1e98626c6ba6","C201265","Start to Start","Code_60"
"http://www.cdisc.org","2023-09-29","8a091b72-4693-44dd-a20f-3487aee5978e","C201264","After","Code_62"
"http://www.cdisc.org","2023-09-29","4fe3b526-fe25-47c2-afbe-2da1ca9963fe","C201265","Start to Start","Code_65"
"http://www.cdisc.org","2023-09-29","9b6e54ad-15b2-4b7b-9892-cdbf8648552b","C201264","After","Code_67"
"http://www.cdisc.org","2023-09-29","3441534f-927b-496f-89eb-807fef957744","C201265","Start to Start","Code_70"
"http://www.cdisc.org","2023-09-29","69964811-ccb2-415f-a107-8fea8f9be539","C85255","Draft","Code_5"
"http://www.cdisc.org","2023-09-29","ae469d7c-7ae0-44f6-a592-814cf190eb17","C99903x1","Protocol Effective Date","Code_8"
"http://www.cdisc.org","2023-09-29","96f54b96-856e-46cc-936b-e7cef2839cdc","C68846","Global","Code_9"
