"label","studyArmDataOriginDescription","description","name","uuid:ID","id"
"","Data collected from subjects","Active Substance","Active","e9504550-9e98-46ed-a7b7-dc9e47a81f0e","StudyArm_1"
"","Data collected from subjects","Placebo","Placebo","bc18376e-5b74-4363-a29b-f8605b7d391e","StudyArm_2"
