"id:ID","uuid","description","name","label","id","dateValue"
"468","4a708444-5cd9-4e86-b815-9377b909b127","Design approval date","Approval","Design Approval","GovernanceDate_1","2006-07-01"
"469","29c2619c-ae8c-4fe9-a27a-c5c142be54a0","Protocol document approval date","Approval","Protocol Approval","GovernanceDate_2","2006-07-01"
