"id:ID","uuid","id","otherReason"
"470","9e4ccb38-6f57-466a-880c-765dfdcd1cad","StudyAmendmentReason_1",""
"471","fdc42b11-c4f5-442d-be08-8ca05adbac6e","StudyAmendmentReason_2","Fix typographical errors"
