"uuid:ID","id","instanceType","otherReason"
"2c2c03af-ec10-44f3-a5e0-a03471c37ccc","StudyAmendmentReason_1","StudyAmendmentReason",""
"5636acbb-ab16-4473-9025-42c7add69bb2","StudyAmendmentReason_2","StudyAmendmentReason","Fix typographical errors"
