"name","id","description","uuid:ID","dateValue","instanceType","label"
"D_APPROVE","GovernanceDate_1","Design approval date","5b02c489-b719-43a5-8bca-4a7ec6d4a426","2006-06-01","GovernanceDate","Design Approval"
"P_APPROVE","GovernanceDate_2","Protocol document approval date","9bae9111-9d9e-4bae-a476-da60214f8bd7","2006-07-01","GovernanceDate","Protocol Approval"
