"instanceType","id","description","uuid:ID","name","parameterMap","label"
"SyntaxTemplateDictionary","SyntaxTemplateDictionary_1","Dictionary for IE","14ec90c3-700e-4e11-a9b8-68c249cf48be","IE_Dict","{'min_age': {'klass': 'Range', 'id': 'Range_3', 'attribute': 'maxValue'}, 'max_age': {'klass': 'Range', 'id': 'Range_3', 'attribute': 'minValue'}, 'StudyPopulation': {'klass': 'StudyDesignPopulation', 'id': 'StudyDesignPopulation_1', 'attribute': 'description'}}","IE Dictionary"
"SyntaxTemplateDictionary","SyntaxTemplateDictionary_2","Dictionary for Study Assessments","c1b35640-d3bb-421d-842d-dcad3a2245fb","AS_Dict","{'Activity1': {'klass': 'Activity', 'id': 'Activity_6', 'attribute': 'label'}}","Assessment Dictionary"
