"name","uuid:ID","id","text"
"AP_1","a19b0d6c-61bf-46a5-b6d0-f2bafdee8e2c","AnalysisPopulation_1","ITT"
"AP_4","b52390ae-d5e0-4512-af23-da80da57046e","AnalysisPopulation_2","ITT"
