"dataOriginDescription","id","description","label","name","uuid:ID"
"Data collected from subjects","StudyArm_1","Active Substance","","Active","a1a47daa-b110-461d-9967-f9e33150214c"
"Data collected from subjects","StudyArm_2","Placebo","","Placebo","7ffdf8d7-ac4a-4df1-9544-e3e05a116bc1"
