"otherReason","instanceType","id","uuid:ID"
"","StudyAmendmentReason","StudyAmendmentReason_1","13221d3f-96a6-45a4-a6b8-e38bb28bb720"
"Fix typographical errors","StudyAmendmentReason","StudyAmendmentReason_2","d61deaee-f1f9-4de4-95ea-f581d87ff1f6"
