"isApproximate","id","maxValue","minValue","instanceType","uuid:ID"
"False","Range_2","300.0","300.0","Range","f83c633d-cb38-444c-b0a5-fea8d5ed28bd"
"False","Range_1","300.0","300.0","Range","d3160418-693d-4d75-a391-38029c8e4cef"
"False","Range_3","100.0","50.0","Range","12390c2a-922a-463f-b7b6-c3966690b29c"
