"label","instanceType","id","dateValue","uuid:ID","name","description"
"Design Approval","GovernanceDate","GovernanceDate_1","2006-06-01","c0d4f16e-efc6-4d81-8917-3161ac55ddc5","D_APPROVE","Design approval date"
"Protocol Approval","GovernanceDate","GovernanceDate_2","2006-07-01","504f9a83-2270-4027-bd8a-f2b1c00bed73","P_APPROVE","Protocol document approval date"
