"id","otherReason","instanceType","uuid:ID"
"StudyAmendmentReason_1","","StudyAmendmentReason","bba28a13-a6aa-4f64-8fde-20d5891c0671"
"StudyAmendmentReason_2","Fix typographical errors","StudyAmendmentReason","9d9cab0d-bb8b-4d57-aba6-711009369ee4"
