"label","instanceType","parameterMap","id","uuid:ID","name","description"
"IE Dictionary","SyntaxTemplateDictionary","{'min_age': {'klass': 'Range', 'id': 'Range_3', 'attribute': 'maxValue'}, 'max_age': {'klass': 'Range', 'id': 'Range_3', 'attribute': 'minValue'}, 'StudyPopulation': {'klass': 'StudyDesignPopulation', 'id': 'StudyDesignPopulation_1', 'attribute': 'description'}}","SyntaxTemplateDictionary_1","ab5bbb06-5756-49a0-ab3e-46002d008de7","IE_Dict","Dictionary for IE"
"Assessment Dictionary","SyntaxTemplateDictionary","{'Activity1': {'klass': 'Activity', 'id': 'Activity_6', 'attribute': 'label'}}","SyntaxTemplateDictionary_2","71f1c914-086b-4a52-85a2-8b40a5eb8487","AS_Dict","Dictionary for Study Assessments"
