"label","uuid:ID","description","dataOriginDescription","id","name"
"Active Substance","4a74da7f-21d7-4e20-a0a5-b9ebdc517290","Active Substance","Data collected from subjects","StudyArm_1","Active"
"Placebo","791c5f7f-0a4f-4b28-ad8f-9b8ac2751ce1","Placebo","Data collected from subjects","StudyArm_2","Placebo"
