"name","text","uuid:ID","id","description","label"
"AP_1","ITT","22997b1a-ef59-4e13-acc4-3c070d028a07","AnalysisPopulation_1","",""
"AP_4","ITT","41b73fb1-b851-4b80-a4d0-a64dc69a6213","AnalysisPopulation_2","",""
