"code","codeSystem","id","decode","codeSystemVersion","uuid:ID"
"C98388","http://www.cdisc.org","Code_1","Interventional Study","2023-09-29","a3184373-faf0-40c7-a181-d3f7b1c5447b"
"C15602","http://www.cdisc.org","Code_2","Phase III Trial","2023-09-29","df28c48e-c64b-4ac1-9925-7e1a5ccaaf09"
"C132352","http://www.cdisc.org","Code_6","Sponsor Approval Date","2023-09-29","5049d4aa-388c-40c7-bbac-636d271af601"
"C25464","http://www.cdisc.org","Code_8","Country","2023-09-29","ad6d451d-1bc2-4489-ae94-a3ce71def86d"
"GBR","ISO 3166 1 alpha3","Code_7","United Kingdom of Great Britain and Northern Ireland","2020-08","62c3b320-e326-459d-9ab6-ff13c1189624"
"C25464","http://www.cdisc.org","Code_10","Country","2023-09-29","335258f7-5a4d-4ed8-9fce-cec57b179ccb"
"FRA","ISO 3166 1 alpha3","Code_9","France","2020-08","9a9eb598-6eca-4bdf-a1b8-5f0a116b3357"
"C41129","http://www.cdisc.org","Code_12","Region","2023-09-29","4b39622c-32e0-4ee6-bfdb-183d89964804"
"142","ISO 3166 1 alpha3","Code_11","Asia","2020-08","788f51c9-16e6-4894-afb2-b40c7a6e7715"
"C25464","http://www.cdisc.org","Code_14","Country","2023-09-29","4629b0e7-99dd-46a1-b543-bb50a4b62327"
"USA","ISO 3166 1 alpha3","Code_13","United States of America","2020-08","7425acb2-4fbb-4ee7-beed-6a2cc7e5f81a"
"C17649","http://www.cdisc.org","Code_30","Other","2023-09-29","9e326014-a232-481b-abc3-9ab4cebe9162"
"C41129","http://www.cdisc.org","Code_32","Region","2023-09-29","6726268b-a355-4ada-9052-4073c2c5356f"
"150","ISO 3166 1 alpha3","Code_31","Europe","2020-08","bb6cc73f-f5fa-4ba4-902e-9e0743cfe7c9"
"C99904x7","http://www.cdisc.org","Code_27","Change In Strategy","2023-09-29","4d859a42-6dc6-483a-9d3d-103d92803c40"
"C99904x10","http://www.cdisc.org","Code_28","Investigator/Site Feedback","2023-09-29","a7d4a581-4e34-44a5-9e38-32189e3392f0"
"C68846","http://www.cdisc.org","Code_29","Global","2023-09-29","73df3891-7765-4204-b7d0-6a86c35e1337"
"C99904x4","http://www.cdisc.org","Code_22","New Safety Information Available","2023-09-29","ed158205-e03e-4b00-b2fb-05bb28bfe090"
"C41129","http://www.cdisc.org","Code_24","Region","2023-09-29","85cc47fd-c979-4464-8621-7d95ff63b9cf"
"150","ISO 3166 1 alpha3","Code_23","Europe","2020-08","de759376-3c5d-43b9-89f7-222d6c936dff"
"C25464","http://www.cdisc.org","Code_26","Country","2023-09-29","fbb42cb3-8ca6-4bdb-8fca-2d4f51d3b5c3"
"DNK","ISO 3166 1 alpha3","Code_25","Denmark","2020-08","95655404-d4b7-4ddb-a475-999b6bfa18fa"
"C99904x3","http://www.cdisc.org","Code_20","IRB/IEC Feedback","2023-09-29","eb322a51-32a1-4d0d-917c-1d295f595404"
"C68846","http://www.cdisc.org","Code_21","Global","2023-09-29","929ffd91-d834-419e-a1b8-a48b345a6370"
"VAC","SPONSOR","Code_3","Vacines Group","12","a3b773d1-379b-41fa-8410-8ab871947187"
"REG","SPONSOR","Code_4","Regulatory","12","818423a8-107c-40eb-9b69-f185c00ee45e"
"C93453","http://www.cdisc.org","Code_33","Study Registry","2023-09-29","c887c2eb-8ab2-43c1-9622-9805c1a56026"
"GBR","ISO 3166 1 alpha3","Code_34","United Kingdom of Great Britain and Northern Ireland","2020-08","0b7f31e3-4716-446a-a9ef-7ec1ef22d3d7"
"C70793","http://www.cdisc.org","Code_35","Clinical Study Sponsor","2023-09-29","93ca1b30-147e-423f-af65-a567973eee21"
"FRA","ISO 3166 1 alpha3","Code_36","France","2020-08","bbdea9fe-5446-4168-85a1-3b4dae91d8fe"
"C15714","http://www.cdisc.org","Code_80","Basic Research","2023-09-29","fe8c4b7b-67c6-407b-8d13-89f189e5c7b1"
"C139174","http://www.cdisc.org","Code_81","Device Feasibility Study","2023-09-29","506b6783-c63d-4c7e-b2a8-23bcbeeda423"
"C49666","http://www.cdisc.org","Code_82","Efficacy Study","2023-09-29","34cf7f2c-e4c5-41f1-981f-54ded67144be"
"T2_DIABETES","SPONSOR","Code_77","Type 2 diabetes","12","ada6fab0-6f1c-4b5a-a4b3-be42437aac89"
"73211009","SNOMED","Code_78","Diabetes mellitus (disorder)","January 31, 2018","8be4c699-238f-480a-873e-0f54d09ffef8"
"C82639","http://www.cdisc.org","Code_83","Parallel Study","2023-09-29","4fba279a-bcb7-42b3-b377-59cf849c2185"
"C25716","http://www.cdisc.org","Code_39","Visit","2023-09-29","47aaf57a-6c30-4c9f-beb6-b58222b0c2af"
"C51282","http://www.cdisc.org","Code_40","Clinic","2023-09-29","5a2bd94d-d232-4f66-a4ae-adfe2c9476f1"
"C175574","http://www.cdisc.org","Code_41","In Person","2023-09-29","fcd47729-de19-4236-8fce-d16247f27abf"
"C25716","http://www.cdisc.org","Code_42","Visit","2023-09-29","eda9b299-23c4-4ce2-8ca5-fc8c7f4ad339"
"C51282","http://www.cdisc.org","Code_43","Clinic","2023-09-29","8f2c0622-b998-4161-910f-2346994671d7"
"C175574","http://www.cdisc.org","Code_44","In Person","2023-09-29","0727f632-b7bc-4336-acde-2a271648a3d7"
"C25716","http://www.cdisc.org","Code_45","Visit","2023-09-29","8151fb2b-0b41-4e16-ba29-ee427775d72e"
"C51282","http://www.cdisc.org","Code_46","Clinic","2023-09-29","a31e539f-976b-4030-bf8d-dc36ddd1e571"
"C175574","http://www.cdisc.org","Code_47","In Person","2023-09-29","59362422-9563-45a2-9ea4-fe907a69bb03"
"C25716","http://www.cdisc.org","Code_48","Visit","2023-09-29","267c10fa-a99f-4dcf-ac29-7a3a0a1216a0"
"C51282","http://www.cdisc.org","Code_49","Clinic","2023-09-29","8cffd75e-41d1-4519-b0ba-96858126486b"
"C175574","http://www.cdisc.org","Code_50","In Person","2023-09-29","ae766583-0ded-4182-b74f-11ba2503dee0"
"C25716","http://www.cdisc.org","Code_51","Visit","2023-09-29","521f903c-7b18-49a4-8d57-9751b28b461c"
"C51282","http://www.cdisc.org","Code_52","Clinic","2023-09-29","f1806fce-834e-4b40-8fb8-f9be93d2ef07"
"C175574","http://www.cdisc.org","Code_53","In Person","2023-09-29","dcbc6854-9cae-4d4b-baf3-d1edda6ee84d"
"C25716","http://www.cdisc.org","Code_54","Visit","2023-09-29","cfcf9394-2f70-4e67-ae07-1a95d9f2e833"
"C18002","http://www.cdisc.org","Code_55","Home","2023-09-29","cb6c3b41-4ce3-46c7-8024-6b357dac7a9f"
"C171537","http://www.cdisc.org","Code_56","Telephone Call","2023-09-29","3265e0d6-f463-4f9e-9825-afda4906d0e8"
"12345678","SNOMED","Code_37","Test","January 31, 2018","057da532-f11d-4e7f-a691-21b7f219c91c"
"12345679","SNOMED","Code_38","Test","January 31, 2018","097aff11-654b-4245-87b7-cad81623684f"
"C20197","http://www.cdisc.org","Code_85","Male","2023-09-29","5bc42bbc-c687-4a47-92fe-27926a794f01"
"C16576","http://www.cdisc.org","Code_86","Female","2023-09-29","07416747-cf45-47b7-a686-69e307062e0d"
"C17998","http://www.cdisc.org","Code_87","Unknown","2023-09-29","4938d3f2-7728-4b47-8f24-d7c8a2712ba3"
"C28421","NCI Thesaurus","Code_88","Sex","","f299188f-25a4-4760-959f-156181e9020b"
"C28421","NCI Thesaurus","Code_84","Sex","","d5f18ed4-2410-4eb4-8a7b-59c50ffade67"
"C17998","http://www.cdisc.org","Code_90","Unknown","2023-09-29","292d35aa-a022-4884-8254-a73e80061b32"
"C17049","NCI Thesaurus","Code_91","Race","","fbd66cb1-1f46-47d5-ab64-df21582e8c50"
"C17049","NCI Thesaurus","Code_89","Race","","0977cac3-dbd1-4d4c-b1e6-13721446938a"
"C173522","NCI Thesaurus","Code_93","Vital Signs Result","","330394ca-e4d4-4be3-b4e7-d63f01a5391b"
