"id","standardCodeAliases","uuid:ID"
"AliasCode_1","[]","a74adfcb-2d71-4840-8105-f01b2b7ecbdd"
"AliasCode_2","[]","6c9a046f-a17e-4129-9e21-c86dc7fe67fb"
"AliasCode_3","[]","5aa0097b-bf69-4b48-bf77-f42c47e9e760"
"AliasCode_4","[]","46994e4a-1eb1-4457-a84d-8dab5b5b3434"
"AliasCode_5","[]","652b3f99-25fe-4f72-8aa9-0ae5937869c3"
"AliasCode_9","[]","68c5f00c-3a2d-43f7-b54d-23c441e8f1da"
"AliasCode_7","[]","d7ceb1d9-8e09-4544-b976-5df8e3638d84"
"AliasCode_8","[]","ef3ead82-9680-49f2-bee3-2c9a076adcff"
"AliasCode_12","[]","948edc8e-1cf4-4978-a31c-10654fe00e53"
"AliasCode_11","[]","828dceed-1b4f-4942-b154-376e64b6a966"
"AliasCode_14","[]","173463f1-2312-46f8-b089-7332678a4df0"
"AliasCode_13","[]","5b3e3f91-6708-49e3-87cb-04bf149b7ef9"
"AliasCode_16","[]","138db8e7-2e32-486e-ae88-10cdc3d6b89b"
"AliasCode_17","[]","c1a2f170-d3ba-4630-af50-118b24543172"
"AliasCode_15","[]","20568e61-f354-438d-889f-443915cfb024"
"AliasCode_10","[]","32b9c899-c0ce-460c-b75a-ddb2de0ca45c"
"AliasCode_6","[]","c23385ce-7674-440b-a049-ac7fb3847e5a"
