"otherReason","uuid:ID","instanceType","id"
"","e0659029-6a56-4939-b6d6-56cea578b595","StudyAmendmentReason","StudyAmendmentReason_1"
"Fix typographical errors","c62ec4c0-2b29-40fa-804f-7734d7ad2d1b","StudyAmendmentReason","StudyAmendmentReason_2"
